Location or site,Latitude,Longitude,Uk'37 SSTC,N,Standard dev.,Reference,Data URL,,,,HadISST,Anom,NOAAERSST5,
ODP 1082,-21.1,11.82,25.9,5,0.327,"Etourneau and others, 2009",https://doi.pangaea.de/10.1594/PANGAEA.729403,,,,18.05,7.85,16.51,9.39
OPD 1084,-25.52,13.03,24.6,2,0.354,"Rosell-Mel- and others, 2014b",https://doi.pangaea.de/10.1594/PANGAEA.841834,,,,16.41,8.19,16.25,8.35
ODP 1087,-31.47,15.32,20.6,13,0.511,"Petrick and others, 2018",https://doi.pangaea.de/10.1594/PANGAEA.888605,,,,17.34,3.26,16.93,3.67
OPD 1088,-41.13,13.57,16.9,1,-,"Herbert and others, 2016",https://www.ncdc.noaa.gov/paleo/study/25390,,,,12.12,4.78,11.63,5.27
*OPD 1115,-9.19,151.57,28.9,4,0.047,"Dowsett and others, 2017",https://doi.org/10.5066/F7959G1S,,,,28.08,0.82,28.00,0.90
ODP 1125,-42.55,-178.17,19.7,16,0.624,"Caballero-Gill and others, 2019",https://doi.pangaea.de/10.1594/PANGAEA.898162,,,,13.90,5.80,14.54,5.16
OPD 1143,9.37,113.28,28.9,7,0.017,"Li and others, 2011",https://doi.pangaea.de/10.1594/PANGAEA.786444,,,,28.06,0.84,28.44,0.46
ODP 1146,19.46,116.27,28.6,20,0.036,"Dowsett and others, 2017",https://doi.org/10.5066/F7959G1S,,,,26.29,2.31,25.98,2.62
ODP 1241,5.85,-86.45,28.2,1,-,"Herbert and others, 2016",https://www.ncdc.noaa.gov/paleo/study/25390,,,,28.32,-0.12,27.73,0.47
IODP 1308,49.88,-24.24,17.2,7,0.25,"Dowsett and others, 2017",https://doi.org/10.5066/F7959G1S,,,,5.94,11.26,13.35,3.85
IODP 1313,41,-32.95,20.9,28,0.689,"Dowsett and others, 2017",https://doi.org/10.5066/F7959G1S,,,,12.55,8.35,17.76,3.14
IODP 1425,39.49,134.44,18.5,1,-,"Wittkopp and others, 2017",https://doi.pangaea.de/10.1594/PANGAEA.879792,,,,13.22,5.28,12.77,5.73
,,,,,,,,,,,,,,
* some readings incorporated in calculations are at the maximum for this paleothermometry method. Actual SST may be higher.,,,,,,,,,,,,,,
