Hoffman et al. 2017,RC12-294,-37.27,-10.1,Coccolithophore,-0.8,0.9,2.6,4.3,5.9
Hoffman et al. 2017,GeoB10038-4,-5.94,103.25,Mg/Ca,-2.3,-1.4,-0.5,0.6,1.6
Hoffman et al. 2017,GeoB10038-4,-5.94,103.25,Alkenones,-2.4,-1.7,-0.9,-0.1,0.7
Hoffman et al. 2017,MD01-2378,-13.08,121.79,Mg/Ca,-1.5,-0.4,0.7,1.7,2.6
Hoffman et al. 2017,V34-88,16.52,59.53,Forams,-2.8,-1.8,-0.7,0.5,1.7
Hoffman et al. 2017,RC12-339,9.13,90.03,Forams,-3.2,-2.2,-1.2,-0.1,0.9
Hoffman et al. 2017,V28-345,-17.67,117.95,Forams,-2.4,-1.3,-0.2,0.9,2.0
Hoffman et al. 2017,ODP1018,36.99,-123.27,Alkenones,-2.8,-0.4,2.1,5.0,7.8
Hoffman et al. 2017,MD01-2421,36.02,141.78,Alkenones,2.0,2.7,3.5,4.2,4.9
Hoffman et al. 2017,ODP893,34.28,-120.03,Alkenones,1.7,2.6,3.4,4.3,5.1
Hoffman et al. 2017,ODP1014A,32.8,-118.9,Alkenones,0.1,1.5,3.0,3.6,4.3
Hoffman et al. 2017,ODP1012,32.28,-118.38,Alkenones,0.9,2.0,3.2,3.9,4.6
Hoffman et al. 2017,LAPAZ21,22.98,-109.47,Alkenones,0.9,1.7,2.5,3.3,4.2
Hoffman et al. 2017,ODP1145,19.53,117.63,Mg/Ca,-3.5,-2.5,-1.5,-0.5,0.4
Hoffman et al. 2017,ODP1146,19.45,116.27,Alkenones,-1.5,-0.6,0.3,1.1,1.9
Hoffman et al. 2017,MD97-2151,8.73,109.87,Alkenones,-1.4,-0.5,0.5,1.4,2.3
Hoffman et al. 2017,GIK17961-2,8.5,112.33,Alkenones,-0.8,0.0,0.7,1.5,2.3
Hoffman et al. 2017,W8402A,0.95,-138.95,Alkenones,-0.3,0.5,1.2,2.0,2.8
Hoffman et al. 2017,TR163-22,0.5,-92.4,Mg/Ca,-3.2,-2.3,-1.4,-0.4,0.6
Hoffman et al. 2017,ODP846,-3.08,-90.82,Alkenones,-1.1,-0.3,0.6,1.5,2.4
Hoffman et al. 2017,V19-29,-3.57,-83.22,Forams,-4.1,-2.7,-1.2,0.1,1.5
Hoffman et al. 2017,MD06-3018,-23,166.13,Mg/Ca,1.8,2.6,3.5,4.5,5.4
Hoffman et al. 2017,V28-238,1.02,160.48,Forams,-2.7,-1.5,-0.4,0.8,2.0
Hoffman et al. 2017,Y71-6-12,-16.45,-77.57,Radiolaria,-3.7,-1.3,1.1,3.2,5.3
Hoffman et al. 2017,MD01-2444,37.57,-10.13,Alkenones,-3.2,-0.4,2.5,3.5,4.5
Hoffman et al. 2017,MD01-2444,37.57,-10.13,Mg/Ca,1.9,3.0,4.0,5.0,6.0
Hoffman et al. 2017,MD02-2575,29,-87.11,Mg/Ca,1.2,2.2,3.2,4.2,5.1
Hoffman et al. 2017,M35027-1,17.64,-67.17,Forams,-4.0,-2.8,-1.6,-0.6,0.5
Hoffman et al. 2017,MD03-2707,2.5,9.39,Mg/Ca,-2.5,-1.6,-0.8,0.2,1.2
Hoffman et al. 2017,GIK15637-1,27,-18.98,Forams,-1.8,-0.9,0.0,0.9,1.9
Hoffman et al. 2017,M12392-1,25.16,-16.85,Forams,-5.7,-4.5,-3.2,-1.9,-0.7
Hoffman et al. 2017,TR126-29,21.33,-93.95,Forams,-3.0,-2.1,-1.2,-0.4,0.5
Hoffman et al. 2017,TR126-23,20.48,-95.62,Forams,-2.9,-2.0,-1.0,-0.2,0.7
Hoffman et al. 2017,V22-196,13.83,-18.97,Forams,-5.5,-2.7,0.1,1.5,2.8
Hoffman et al. 2017,V28-127,11.65,-80.13,Forams,-2.5,-1.4,-0.2,1.0,2.3
Hoffman et al. 2017,V25-59,1.37,-33.48,Forams,-2.9,-1.9,-0.9,0.2,1.2
