,Table S3. Low latitudes (40S-40N) Annual,,,,,,,,
,,,,,,,,,
Compilation reference,Site Name,Latitude,Longitude,Proxy,Anom-2SD,Anom-1SD,Anom,Anom+1SD,Anom+2SD
Hoffman et al. 2017,ODP662,-1.38,-11.74,Alkenones,-0.5,0.2,1.0,1.8,2.6
Hoffman et al. 2017,GeoB1105,-1.67,-12.43,Alkenones,0.2,1.0,1.9,2.8,3.7
Hoffman et al. 2017,GeoB1105,-1.67,-12.43,Mg/Ca,-2.2,-1.3,-0.4,0.5,1.5
Hoffman et al. 2017,GeoB1112,-5.77,-10.74,Forams,-3.4,-1.7,0.0,1.3,2.6
Hoffman et al. 2017,GeoB1112,-5.77,-10.74,Mg/Ca,-1.3,-0.5,0.4,1.3,2.2
Hoffman et al. 2017,GeoB1711-4,-23.31,12.38,Alkenones,1.1,2.1,3.2,4.0,4.7
Hoffman et al. 2017,GeoB1710-3,-23.43,11.7,Alkenones,1.0,2.0,3.0,3.7,4.4
Hoffman et al. 2017,MD96-2080,-36.32,19.47,Mg/Ca,4.7,5.4,6.2,7.1,8.0
Hoffman et al. 2017,V22-174,-10.07,-12.82,Coccolithophore,-3.8,-2.3,-0.7,1.0,2.6
Hoffman et al. 2017,RC13-228,-22.33,11.2,Forams,-8.2,-6.6,-4.9,-2.5,-0.1
Hoffman et al. 2017,RC13-228,-22.33,11.2,Coccolithophore,-2.2,-0.7,0.9,2.7,4.5
Hoffman et al. 2017,RC13-228,-22.33,11.2,Radiolaria,-0.2,1.2,2.6,4.0,5.5
Hoffman et al. 2017,RC13-229,-25.5,11.3,Forams,-3.1,-1.7,-0.3,0.8,2.0
Hoffman et al. 2017,RC13-229,-25.5,11.3,Radiolaria,0.0,1.2,2.4,3.6,4.8
Hoffman et al. 2017,RC11-86,-35.78,18.45,Forams,-2.6,-1.5,-0.5,0.7,1.8
Hoffman et al. 2017,RC11-86,-35.78,18.45,Coccolithophore,0.5,2.1,3.7,5.3,7.0
Hoffman et al. 2017,RC12-294,-37.27,-10.1,Forams,-1.6,0.1,1.8,3.5,5.2
