model,experiment,years,GMTemp,ATL3 mean,IOD stddev,Nino34 stddev,AtlNino mean,AtlNino stddev,AtlNino AnnCycAmp,AMM mean,AMM stddev,AMM AnnCycAmp,global_mean_absolute_temperatures,global_mean_precipitation,NAO DJF,PDO mon
BEST,observations,74,14.4286,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,14.4258,1e+20,1e+20,1e+20
CESM1,Forced,66,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36
CESM1,Forced,37,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36
CESM1,Forced,66,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36
CESM2,lig127k,700,13.9639,27.4285,0.559847,0.917582,27.4285,0.369388,2.63083,1.73263,0.373439,7.38942,13.9639,2.92884,2.15938,0.352596
CNRM-CM6-1,lig127k,201,13.1996,27.3098,0.479797,0.655207,27.3098,0.336985,1.51563,0.224914,0.389335,8.33642,13.1996,2.94528,2.07079,0.317874
EC-Earth3-LR,lig127k,210,13.6958,26.6643,0.413845,0.49902,26.6643,0.379001,3.06194,0.188677,0.359281,8.42259,13.6958,2.84708,2.13808,0.343497
ERA20c,ERA5,124,-32767,-32767,-32767,-32767,-32767,-32767,-32767,-32767,-32767,-32767,-32767,-32767,2.00198,-32767
ERA5,1,74,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,2.88842,1e+20,1e+20
ERA5,2,45,-32767,-32767,-32767,-32767,-32767,-32767,-32767,-32767,-32767,-32767,-32767,-32767,2.30534,-32767
ERA5,observations,74,-32767,-32767,-32767,-32767,-32767,-32767,-32767,-32767,-32767,-32767,-32767,-32767,2.16249,-32767
ERSSTv5,1,124,1e+20,26.3379,0.390538,0.868686,26.3379,0.481778,4.29447,2.26708,0.563218,6.8869,1e+20,1e+20,1e+20,0.32549
ERSSTv5,observations,74,1e+20,26.5671,0.405197,0.861493,26.5671,0.443993,4.30491,2.2078,0.52838,6.99375,1e+20,1e+20,1e+20,0.315107
FGOALS-f3-L,lig127k,500,12.4606,25.9388,0.580199,1.08485,25.9388,0.334477,2.14618,1.36451,0.323838,5.72036,12.4563,2.81587,2.06938,0.330869
FGOALS-g3,lig127k,500,14.3042,26.8165,0.369601,0.755224,26.8165,0.407435,3.90047,1.10337,0.250351,4.3575,14.3042,2.79939,1.90508,0.26485
GISS-E2-1-G,lig127k,100,13.6781,28.0709,0.439733,1.18092,28.0709,0.362533,1.29363,-0.0130467,0.323732,5.94003,13.6781,2.96182,2.0698,0.388375
GISTEMP,observations,124,0.132167,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,0.132167,1e+20,1e+20,1e+20
GPCC,observations,124,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,2.46575,-100000,-100000
GPCP,observations,45,-9.96921e+36,-9.96921e+36,-9.96921e+36,-9.96921e+36,-9.96921e+36,-9.96921e+36,-9.96921e+36,-9.96921e+36,-9.96921e+36,-9.96921e+36,-9.96921e+36,2.6877,-9.96921e+36,-9.96921e+36
HadCRUT5-0-2,observations,45,0.46791,-1e+30,-1e+30,-1e+30,-1e+30,-1e+30,-1e+30,-1e+30,-1e+30,-1e+30,0.46791,-1e+30,-1e+30,-1e+30
HadGEM3-GC31-LL,lig127k,100,14.2875,27.3215,0.491729,0.663991,27.3215,0.465315,2.19918,1.21059,0.401182,7.43329,14.2831,3.17991,1e+20,0.330118
HadISSTv1,observations,45,1e+20,26.6579,0.317071,0.866713,26.6579,0.401189,4.38928,2.14276,0.485774,7.24921,1e+20,1e+20,1e+20,0.286403
INM-CM4-8,lig127k,100,13.083,26.7201,0.261247,0.502643,26.7201,0.276837,1.96778,0.461543,0.288219,5.6473,13.083,3.02526,1.67763,0.266573
IPSL-CM6A-LR,lig127k,550,12.6189,26.0464,0.475863,0.802327,26.0464,0.4117,3.05644,0.281247,0.42025,7.40228,12.6189,2.97768,2.21275,0.36488
LOVECLIM,lig127k,100,15.7044,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,15.7044,2.82697,9.96921e+36,9.96921e+36
MIROC-ES2L,lig127k,100,14.5637,26.6497,0.480406,0.543151,26.6497,0.417089,2.06926,0.523689,0.368467,5.4846,14.5637,3.17965,1.82356,0.287092
MPI-ESM1-2-LR,lig127k,300,13.3989,26.7069,0.669828,0.573797,26.7069,0.385359,2.69922,0.174464,0.39473,5.80013,13.3989,2.8601,2.13624,0.340579
NASA,Bootstrap,45,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36
NASA,Bootstrap,45,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36
NASA,CDR,45,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36
NASA,CDR,45,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36
NASA,Team,45,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36
NASA,Team,45,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36
NESM3,lig127k,100,13.8401,27.1828,0.444604,0.535428,27.1828,0.463993,3.34968,-0.659019,0.507104,6.32245,13.8401,2.88909,2.2519,0.311318
NorESM1-F,lig127k,200,14.2271,27.2747,0.332232,0.481086,27.2747,0.310526,1.77765,-0.0657608,0.29178,6.96043,14.2271,2.83234,1.89816,0.376136
NorESM2-LM,lig127k,100,14.3805,26.9448,0.59569,1.25119,26.9448,0.590548,2.18854,1.5271,0.456611,7.48827,14.3805,3.04146,2.13065,0.41455
ACCESS-ESM1-5,midHolocene,300,14.2119,26.3587,0.507626,0.776672,26.3587,0.543221,3.24648,1.77307,0.442364,5.77167,14.2119,3.19515,1.68529,0.329844
AWI-ESM-1-1-LR,midHolocene,100,12.5705,26.2786,0.476673,0.627442,26.2786,0.431518,2.67041,-0.14173,0.454368,5.97965,12.5705,2.8058,2.22477,0.395974
BCC-CSM1-1,midHolocene,100,13.5752,26.3592,0.341261,0.661296,26.3592,0.36795,3.09946,-0.186677,0.413771,7.67477,13.5752,2.78226,1.92409,0.334852
BEST,observations,74,14.4286,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,14.4258,1e+20,1e+20,1e+20
CCSM4,midHolocene,301,13.0734,27.1141,0.46394,1.00788,27.1141,0.394552,3.33297,-0.0211261,0.313157,6.65338,13.0734,2.91904,1.92547,0.372634
CESM1,Forced,66,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36
CESM1,Forced,37,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36
CESM1,Forced,66,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36
CESM2,midHolocene,700,13.8469,27.3634,0.594068,1.04222,27.3634,0.40728,3.71996,1.92357,0.38067,7.01751,13.8469,2.92541,2.22019,0.372504
CNRM-CM5,midHolocene,200,13.3811,27.159,0.537132,0.730984,27.159,0.39914,2.77284,-0.600482,0.399698,7.86105,13.3811,3.07173,1.74363,0.257133
CSIRO-Mk3-6-0,midHolocene,100,12.7502,23.7005,1.01069,0.795908,23.7005,0.444788,2.44692,4.34445,0.503298,5.87704,12.7502,2.89142,2.07843,0.374192
CSIRO-Mk3L-1-2,midHolocene,500,14.0356,26.7182,0.505526,0.438586,26.7182,0.261806,4.04709,2.09278,0.321389,7.93737,14.0356,2.71882,1.36719,0.240488
EC-Earth3-LR,midHolocene,203,13.2468,26.4241,0.488214,0.600527,26.4241,0.507916,3.90159,0.0476195,0.381061,8.97703,13.2468,2.81773,2.24689,0.352608
EC-Earth3,midHolocene,200,13.6343,26.7314,0.553682,0.604598,26.7314,0.539327,4.13823,0.194543,0.369794,9.1743,13.6324,2.87449,1.99647,0.333939
ERA20c,ERA5,124,-32767,-32767,-32767,-32767,-32767,-32767,-32767,-32767,-32767,-32767,-32767,-32767,2.00198,-32767
ERA5,1,74,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,2.88842,1e+20,1e+20
ERA5,2,45,-32767,-32767,-32767,-32767,-32767,-32767,-32767,-32767,-32767,-32767,-32767,-32767,2.30534,-32767
ERA5,observations,74,-32767,-32767,-32767,-32767,-32767,-32767,-32767,-32767,-32767,-32767,-32767,-32767,2.16249,-32767
ERSSTv5,1,124,1e+20,26.3379,0.390538,0.868686,26.3379,0.481778,4.29447,2.26708,0.563218,6.8869,1e+20,1e+20,1e+20,0.32549
ERSSTv5,observations,74,1e+20,26.5671,0.405197,0.861493,26.5671,0.443993,4.30491,2.2078,0.52838,6.99375,1e+20,1e+20,1e+20,0.315107
FGOALS-f3-L,midHolocene,500,12.512,26.0452,0.658757,1.32231,26.0452,0.372,2.7858,1.33342,0.33672,5.58049,12.5079,2.8198,2.00025,0.320274
FGOALS-g2,midHolocene,680,12.4365,26.6042,0.266199,0.548512,26.6042,0.264219,1.91975,0.901122,0.288471,5.4883,12.4365,2.80295,1.5238,0.268346
FGOALS-g3,midHolocene,500,13.7846,26.7255,0.387623,0.839243,26.7255,0.382287,1.82572,1.24221,0.276416,4.48431,13.7846,2.76846,1.9046,0.301665
FGOALS-s2,midHolocene,100,13.4827,25.6602,0.678466,1.0381,25.6602,0.426683,3.15655,1.04151,0.363334,5.45172,13.4827,2.64203,2.21102,0.296257
GISS-E2-1-G,midHolocene,100,13.4162,27.9329,0.405395,1.12828,27.9329,0.322311,1.884,-0.159627,0.356712,6.27074,13.4162,2.94875,2.16013,0.376044
GISS-E2-R,midHolocene,100,14.1851,27.746,0.27897,0.487694,27.746,0.183094,0.974422,0.678979,0.252129,4.97917,14.1851,3.16707,1.91257,0.27021
GISTEMP,observations,124,0.132167,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,0.132167,1e+20,1e+20,1e+20
GPCC,observations,124,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,2.46575,-100000,-100000
GPCP,observations,45,-9.96921e+36,-9.96921e+36,-9.96921e+36,-9.96921e+36,-9.96921e+36,-9.96921e+36,-9.96921e+36,-9.96921e+36,-9.96921e+36,-9.96921e+36,-9.96921e+36,2.6877,-9.96921e+36,-9.96921e+36
HadCRUT5-0-2,observations,45,0.46791,-1e+30,-1e+30,-1e+30,-1e+30,-1e+30,-1e+30,-1e+30,-1e+30,-1e+30,0.46791,-1e+30,-1e+30,-1e+30
HadGEM2-CC,midHolocene,35,13.4596,25.8623,0.452066,0.683381,25.8623,0.582565,3.34533,0.879138,0.729488,6.04615,13.4596,3.06823,2.27489,0.332192
HadGEM2-ES,midHolocene,101,13.9849,26.3647,0.444972,0.648781,26.3647,0.549735,3.21099,0.69661,0.558226,6.22339,13.9849,3.10913,1.76933,0.341394
HadGEM3-GC31-LL,midHolocene,100,13.6707,26.8915,0.494533,0.920026,26.8915,0.546264,3.30154,0.653381,0.467537,7.35954,13.6651,3.13639,1.99229,0.391637
HadISSTv1,observations,45,1e+20,26.6579,0.317071,0.866713,26.6579,0.401189,4.38928,2.14276,0.485774,7.24921,1e+20,1e+20,1e+20,0.286403
INM-CM4-8,midHolocene,200,12.9601,26.5354,0.248861,0.466211,26.5354,0.329903,2.05112,0.572844,0.295064,5.65311,12.9601,2.99346,1.44109,0.306433
IPSL-CM5A-LR,midHolocene,500,11.944,26.3928,0.485399,0.564079,26.3928,0.325949,3.12463,0.883819,0.382596,8.47966,11.944,2.65345,2.2155,0.361451
IPSL-CM6A-LR,midHolocene,550,12.3512,25.8074,0.498455,0.925525,25.8074,0.424535,4.567,0.0631442,0.425381,8.1352,12.3512,1e+20,2.3385,0.350809
MIROC-ES2L,midHolocene,100,14.5097,27.0108,0.438082,0.745937,27.0108,0.430642,2.94059,0.431074,0.363334,5.61403,14.5097,3.16569,1.48573,0.321601
MIROC-ESM,midHolocene,100,13.3466,26.5616,0.306915,0.402489,26.5616,0.308954,2.61796,0.511721,0.368762,5.39359,13.3466,2.80157,2.10041,0.218449
MPI-ESM1-2-LR,midHolocene,500,13.1723,26.7699,0.539125,0.661054,26.7699,0.39483,2.47923,0.133146,0.481337,6.01727,13.1723,2.83434,2.05806,0.384865
MPI-ESM-P,midHolocene,100,13.404,26.4101,0.620909,0.661853,26.4101,0.37735,2.27259,0.382648,0.401184,4.94118,13.404,2.92152,2.09009,0.335992
MRI-CGCM3,midHolocene,100,13.5644,25.9078,0.356948,0.666479,25.9078,0.394911,3.21432,-0.292989,0.354074,5.95358,13.5644,2.93184,2.13758,0.253796
MRI-ESM2-0,midHolocene,200,13.643,26.7229,0.417133,0.710158,26.7229,0.407864,3.9095,1.38712,0.417423,5.85672,13.643,2.99714,2.08251,0.24836
NASA,Bootstrap,45,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36
NASA,Bootstrap,45,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36
NASA,CDR,45,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36
NASA,CDR,45,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36
NASA,Team,45,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36
NASA,Team,45,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36
NESM3,midHolocene,100,13.4636,26.9504,0.446388,0.629746,26.9504,0.449082,2.84924,-0.435071,0.511371,6.93252,13.4636,2.85755,2.08635,0.308192
NorESM1-F,midHolocene,200,14.1452,27.4717,0.361339,0.538026,27.4717,0.351272,2.77647,-0.240068,0.337585,6.98488,14.1452,2.81905,2.11783,0.360057
NorESM2-LM,midHolocene,100,14.2489,26.7937,0.560492,1.47842,26.7937,0.691411,3.16743,1.57782,0.503746,7.01587,14.2489,3.04211,2.0992,0.349821
UofT-CCSM-4,midHolocene,100,12.4423,26.5529,0.449396,0.60379,26.5529,0.365849,2.91798,-0.179773,0.32501,6.74141,12.4423,2.8695,2.02048,0.374398
BEST,observations,74,14.4286,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,14.4258,1e+20,1e+20,1e+20
CESM1,Forced,66,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36
CESM1,Forced,37,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36
CESM1,Forced,66,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36
CESM2,midPliocene-eoi400,1200,19.0015,31.5208,0.62797,1.16432,31.5208,0.42209,4.36783,1.4806,0.371297,6.7532,19.0015,3.26056,2.28969,0.392422
EC-Earth3-LR,midPliocene-eoi400,100,18.1468,29.9173,0.411236,0.357311,29.9173,0.371787,4.21688,0.0139432,0.359687,8.5682,18.1468,3.12815,1.90544,0.329642
ERA20c,ERA5,124,-32767,-32767,-32767,-32767,-32767,-32767,-32767,-32767,-32767,-32767,-32767,-32767,2.00198,-32767
ERA5,1,74,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,2.88842,1e+20,1e+20
ERA5,2,45,-32767,-32767,-32767,-32767,-32767,-32767,-32767,-32767,-32767,-32767,-32767,-32767,2.30534,-32767
ERA5,observations,74,-32767,-32767,-32767,-32767,-32767,-32767,-32767,-32767,-32767,-32767,-32767,-32767,2.16249,-32767
ERSSTv5,1,124,1e+20,26.3379,0.390538,0.868686,26.3379,0.481778,4.29447,2.26708,0.563218,6.8869,1e+20,1e+20,1e+20,0.32549
ERSSTv5,observations,74,1e+20,26.5671,0.405197,0.861493,26.5671,0.443993,4.30491,2.2078,0.52838,6.99375,1e+20,1e+20,1e+20,0.315107
GISS-E2-1-G,midPliocene-eoi400,100,15.8968,29.2113,0.438533,1.19549,29.2113,0.371999,2.96741,-0.14755,0.361999,6.43383,15.8968,3.04323,2.72316,0.418558
GISTEMP,observations,124,0.132167,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,0.132167,1e+20,1e+20,1e+20
GPCC,observations,124,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,-100000,2.46575,-100000,-100000
GPCP,observations,45,-9.96921e+36,-9.96921e+36,-9.96921e+36,-9.96921e+36,-9.96921e+36,-9.96921e+36,-9.96921e+36,-9.96921e+36,-9.96921e+36,-9.96921e+36,-9.96921e+36,2.6877,-9.96921e+36,-9.96921e+36
HadCRUT5-0-2,observations,45,0.46791,-1e+30,-1e+30,-1e+30,-1e+30,-1e+30,-1e+30,-1e+30,-1e+30,-1e+30,0.46791,-1e+30,-1e+30,-1e+30
HadGEM3-GC31-LL,midPliocene-eoi400,100,18.9683,31.07,0.436262,0.706738,31.07,0.440403,3.84797,0.619316,0.464222,7.1057,18.9625,3.49145,1e+20,0.364869
HadISSTv1,observations,45,1e+20,26.6579,0.317071,0.866713,26.6579,0.401189,4.38928,2.14276,0.485774,7.24921,1e+20,1e+20,1e+20,0.286403
IPSL-CM6A-LR,midPliocene-eoi400,200,15.9784,28.1071,0.553387,0.999978,28.1071,0.380308,5.88823,0.145058,0.394335,8.45978,15.9784,3.17046,2.42358,0.358467
NASA,Bootstrap,45,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36
NASA,Bootstrap,45,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36
NASA,CDR,45,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36
NASA,CDR,45,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36
NASA,Team,45,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36
NASA,Team,45,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36
NorESM1-F,midPliocene-eoi400,200,16.2346,28.8221,0.394609,0.415468,28.8221,0.422538,3.74116,-0.0882761,0.34824,6.51965,16.2346,2.98413,2.09712,0.373319
UofT-CCSM-4,midPliocene-eoi400,100,16.793,29.3439,0.440657,0.514718,29.3439,0.338591,3.80948,0.0319262,0.281854,6.19804,16.793,3.12722,1.60516,0.384467
ACCESS-ESM1-5,piControl,100,14.4566,26.9863,0.558678,0.788372,26.9863,0.578836,3.63253,1.29933,0.467318,5.49363,14.4566,3.21295,1.74682,0.372285
AWI-ESM-1-1-LR,piControl,100,13.0093,26.9828,0.463043,0.665857,26.9828,0.435489,3.46768,-0.506204,0.463136,6.71959,13.0093,2.80474,2.22677,0.321097
BCC-CSM1-1,piControl,500,13.7105,26.6758,0.419768,0.695668,26.6758,0.389218,3.91039,-0.267241,0.434043,7.4523,13.7105,2.79524,1.95963,0.355281
BEST,observations,74,14.4286,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,14.4258,1e+20,1e+20,1e+20
CCSM4,piControl,1051,13.334,27.335,0.606871,1.04986,27.335,0.40659,4.10896,0.00971016,0.335448,6.47268,13.334,2.93121,1.99667,0.385166
CESM1,Forced,66,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36
CESM1,Forced,37,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36
CESM1,Forced,66,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36
CESM2-FV2,piControl,150,13.9196,27.2375,0.873351,1.01749,27.2375,0.409973,4.12401,1.08697,0.399565,6.88134,13.9196,1e+20,2.61335,0.314523
CESM2,piControl,500,14.052,27.7394,0.663192,1.14058,27.7394,0.395195,4.3407,1.7426,0.392528,6.96844,14.052,2.94556,2.22449,0.349252
CESM2-WACCM-FV2,piControl,300,13.9525,27.3356,0.857327,1.08198,27.3356,0.417109,4.05342,0.995919,0.416878,6.89671,13.9525,2.99422,2.54898,0.352449
CNRM-CM5,piControl,850,13.2004,27.25,0.622055,0.810401,27.25,0.369475,2.86843,-0.674807,0.42569,8.15542,13.2004,3.06066,1.77619,0.311536
CNRM-CM6-1,piControl,500,12.8577,27.2503,0.588414,0.844245,27.2503,0.366352,3.6722,0.16031,0.422131,8.70045,12.8577,2.90027,2.08731,0.301703
COSMOS-ASO,piControl,400,12.4407,27.3068,0.536309,1.77939,27.3068,0.561639,2.7202,0.101219,0.518816,4.80763,12.4407,2.64294,2.35149,0.342758
CSIRO-Mk3-6-0,piControl,500,12.7337,23.9278,0.752779,0.67978,23.9278,0.41393,3.37139,4.30603,0.503012,5.65409,12.7337,2.89504,1.65351,0.341289
EC-EARTH-2-2,piControl,40,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36
EC-Earth3-LR,piControl,201,13.2985,26.9101,0.649997,0.691016,26.9101,0.491659,4.90681,-0.289064,0.379722,8.95259,13.2985,2.81702,2.13573,0.341409
EC-Earth3,piControl,501,13.8628,27.224,0.636833,0.70418,27.224,0.515274,5.22009,-0.139372,0.425456,9.01164,13.8606,2.88372,2.06509,0.253927
EC-Earth3-Veg,piControl,500,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,2.87086,1e+20,1e+20
ERA20c,ERA5,124,-32767,-32767,-32767,-32767,-32767,-32767,-32767,-32767,-32767,-32767,-32767,-32767,2.00198,-32767
ERA5,1,74,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,2.88842,1e+20,1e+20
ERA5,2,45,-32767,-32767,-32767,-32767,-32767,-32767,-32767,-32767,-32767,-32767,-32767,-32767,2.30534,-32767
ERA5,observations,74,-32767,-32767,-32767,-32767,-32767,-32767,-32767,-32767,-32767,-32767,-32767,-32767,2.16249,-32767
ERSSTv5,1,124,1e+20,26.3379,0.390538,0.868686,26.3379,0.481778,4.29447,2.26708,0.563218,6.8869,1e+20,1e+20,1e+20,0.32549
ERSSTv5,observations,74,1e+20,26.5671,0.405197,0.861493,26.5671,0.443993,4.30491,2.2078,0.52838,6.99375,1e+20,1e+20,1e+20,0.315107
FGOALS-f3-L,piControl,561,12.8781,26.6683,0.727897,1.34977,26.6683,0.393509,3.38074,1.09839,0.407684,5.26406,12.8736,2.84374,1.93228,0.318518
FGOALS-g2,piControl,700,13.1696,27.3382,0.369107,0.742633,27.3382,0.28296,2.79307,0.772017,0.312223,5.67324,13.1696,2.85141,1.6209,0.264765
FGOALS-g3,piControl,500,14.0245,27.4243,0.612936,1.03096,27.4243,0.386107,2.88636,0.852536,0.299403,4.09001,14.0245,2.87556,1.92065,0.286829
FGOALS-s2,piControl,501,13.6471,25.9305,0.719298,1.07116,25.9305,0.426697,3.83962,1.07707,0.379474,5.12752,13.6471,2.66364,2.13157,0.298369
GISS-E2-1-G,piControl,851,13.7963,28.3939,0.469716,1.17486,28.3939,0.36941,2.46783,-0.24382,0.344674,6.19929,13.7963,2.97224,2.1335,0.401489
GISS-E2-R,piControl,500,14.2854,27.8356,0.296346,0.52376,27.8356,0.200114,1.76675,0.659337,0.259186,5.14649,14.2854,3.17567,1.79074,0.269694
