model,experiment,years,GMTemp,ATL3 mean,IOD stddev,Nino34 stddev,AtlNino mean,AtlNino stddev,AtlNino AnnCycAmp,AMM mean,AMM stddev,AMM AnnCycAmp,global_mean_absolute_temperatures,global_mean_precipitation,NAO DJF,PDO mon
IPSL-CM6A-LR,1pctCO2,150,15.468,28.5807,0.60216,1.39057,28.5807,0.384292,5.68625,-0.314603,0.376912,8.83051,15.468,3.08352,2.42827,0.335724
MIROC-ES2L,1pctCO2,150,16.7831,29.5049,0.571338,1.58678,29.5049,0.494087,3.14159,0.111976,0.422417,5.66521,16.7831,3.26062,1.54635,0.37801
MIROC-ESM,1pctCO2,140,15.7567,29.1451,0.224028,0.399718,29.1451,0.251051,2.88302,0.561265,0.296201,5.19938,15.7567,2.90205,1.91511,0.225902
MPI-ESM1-2-LR,1pctCO2,165,15.8907,29.4119,0.493024,0.751566,29.4119,0.316411,3.50966,0.0277027,0.434311,7.08636,15.8907,2.92323,2.16817,0.387229
MPI-ESM-P,1pctCO2,140,15.8037,29.0666,0.693455,0.889692,29.0666,0.383848,3.41392,0.316693,0.395499,6.23291,15.8037,3.02646,2.22242,0.388646
MRI-CGCM3,1pctCO2,140,15.3204,28.1856,0.375771,0.901052,28.1856,0.396657,4.07015,-0.619931,0.460989,5.68284,15.3204,3.04076,1.99777,0.232335
MRI-ESM2-0,1pctCO2,151,15.6584,29.1975,0.401974,1.06862,29.1975,0.382212,4.37927,0.677589,0.420936,6.04062,15.6584,3.09063,2.4031,0.270658
NASA,Bootstrap,45,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36
NASA,Bootstrap,45,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36
NASA,CDR,45,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36
NASA,CDR,45,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36
NASA,Team,45,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36
NASA,Team,45,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36
NESM3,1pctCO2,150,16.8261,30.1036,0.515094,0.736416,30.1036,0.443943,4.40751,-0.265091,0.526609,7.77733,16.8261,2.99444,2.073,0.341659
NorESM2-LM,1pctCO2,30,17.7719,30.2565,0.607819,1.53739,30.2565,0.49684,4.23903,1.88895,0.514125,6.53758,17.7719,2.96026,2.46482,0.308624
ACCESS-ESM1-5,abrupt4xCO2,50,19.8645,31.3467,0.446206,1.12785,31.3467,0.455807,3.64436,1.36843,0.417579,6.32749,19.8645,3.45973,1.3836,0.339102
BCC-CSM1-1,abrupt4xCO2,50,18.5185,30.294,0.340904,0.635868,30.294,0.287697,3.71354,0.183148,0.348509,7.61554,18.5185,3.03069,2.13157,0.33853
BEST,observations,74,14.4286,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,14.4258,1e+20,1e+20,1e+20
CCSM4,abrupt4xCO2,50,18.0761,30.2918,0.61031,0.948387,30.2918,0.345379,4.10822,0.407976,0.328723,6.49956,18.0761,3.14592,2.15995,0.348725
CESM1,Forced,66,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36
CESM1,Forced,37,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36
CESM1,Forced,66,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36
CESM2,abrupt4xCO2,50,21.0923,34.7184,0.289696,0.656808,34.7184,0.249659,3.22307,0.0136244,0.281048,6.39935,21.0923,3.30725,1.94241,0.295935
CNRM-CM5,abrupt4xCO2,50,18.347,31.1161,0.673986,0.910519,31.1161,0.315026,2.7255,-0.778178,0.408692,7.88333,18.347,3.30009,1.9211,0.277194
CNRM-CM6-1,abrupt4xCO2,50,19.5346,32.8132,0.433125,0.951643,32.8132,0.30892,3.67204,-0.258056,0.379104,10.243,19.5346,3.20341,2.63807,0.286761
CSIRO-Mk3-6-0,abrupt4xCO2,50,18.2626,29.0471,0.619863,0.946317,29.0471,0.347131,3.96278,4.36173,0.396559,6.17291,18.2626,3.19999,1.61771,0.262769
CSIRO-Mk3L-1-2,abrupt4xCO2,50,18.7731,31.0536,0.378342,0.334483,31.0536,0.213026,4.52965,1.65394,0.259918,7.59907,18.7731,2.94334,1.33274,0.201202
ERA20c,ERA5,124,-32767,-32767,-32767,-32767,-32767,-32767,-32767,-32767,-32767,-32767,-32767,-32767,2.00198,-32767
ERA5,1,74,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,2.88842,1e+20,1e+20
ERA5,2,45,-32767,-32767,-32767,-32767,-32767,-32767,-32767,-32767,-32767,-32767,-32767,-32767,2.30534,-32767
ERA5,observations,74,-32767,-32767,-32767,-32767,-32767,-32767,-32767,-32767,-32767,-32767,-32767,-32767,2.16249,-32767
ERSSTv5,1,124,1e+20,26.3379,0.390538,0.868686,26.3379,0.481778,4.29447,2.26708,0.563218,6.8869,1e+20,1e+20,1e+20,0.32549
ERSSTv5,observations,74,1e+20,26.5671,0.405197,0.861493,26.5671,0.443993,4.30491,2.2078,0.52838,6.99375,1e+20,1e+20,1e+20,0.315107
FGOALS-f3-L,abrupt4xCO2,50,17.8834,29.6597,0.553156,1.3087,29.6597,0.336682,3.74082,2.06171,0.426386,5.50118,17.8794,3.10815,1.86031,0.323359
