model,experiment,years,GMTemp,ATL3 mean,IOD stddev,Nino34 stddev,AtlNino mean,AtlNino stddev,AMM AnnCycAmp,global_mean_absolute_temperatures,global_mean_precipitation,NAO DJF,PDO mon
FGOALS-g2,abrupt4xCO2,50,18.2332,31.296,0.311324,0.565008,31.3513,0.232789,6.05772,18.2332,3.1178,1.65435,0.239291
FGOALS-g3,abrupt4xCO2,50,18.4407,31.4684,0.33139,0.819034,31.4828,0.274839,4.50828,18.4407,2.98428,1.75289,0.231735
FGOALS-s2,abrupt4xCO2,50,19.4834,31.628,0.453253,1.37124,31.7064,0.346227,5.68404,19.4834,2.96781,2.3807,0.369989
GISS-E2-1-G,abrupt4xCO2,50,17.9135,32.3121,0.337049,0.944438,32.3708,0.353435,6.36385,17.9135,3.10347,2.33901,0.367384
GISS-E2-R,abrupt4xCO2,50,17.6697,30.7675,0.26408,0.298569,30.7814,0.171241,5.36064,17.6697,3.27285,1.92007,0.27293
HadGEM2-ES,abrupt4xCO2,50,19.9439,31.2535,0.410436,0.627934,31.3427,0.334744,6.36692,19.9439,3.3155,2.23459,0.399961
HadGEM3-GC31-LL,abrupt4xCO2,50,21.4944,33.5223,0.30312,0.864383,33.6225,0.369794,7.37424,21.489,3.57328,1.81001,0.33292
INM-CM4-8,abrupt4xCO2,50,16.7754,29.6141,0.221485,0.405755,29.6284,0.219973,5.48114,16.7754,3.18606,1.51756,0.241838
IPSL-CM5A-LR,abrupt4xCO2,50,17.7561,31.9653,0.394876,0.690175,32.0299,0.292737,9.00885,17.7561,2.97402,2.39626,0.311656
IPSL-CM6A-LR,abrupt4xCO2,50,19.7873,31.8803,0.447236,1.24523,31.9458,0.363497,9.58492,19.7873,3.28886,2.05752,0.356146
MIROC-ES2L,abrupt4xCO2,50,19.0468,31.7632,0.593948,1.53645,31.7844,0.480919,5.8655,19.0468,3.36545,1.83773,0.357762
MIROC-ESM,abrupt4xCO2,50,19.9457,32.6845,0.204797,0.418363,32.7441,0.216922,5.50076,19.9457,3.14017,1.64843,0.262213
MPI-ESM1-2-LR,abrupt4xCO2,50,18.4086,31.1883,0.552473,0.981524,31.2121,0.356375,7.50853,18.4086,3.0369,2.22196,0.348703
MPI-ESM-P,abrupt4xCO2,50,19.3522,31.8846,0.715308,1.2068,31.8852,0.44374,7.09706,19.3522,3.21094,2.21401,0.358909
MRI-CGCM3,abrupt4xCO2,50,17.9053,30.5698,0.348053,0.876585,30.6158,0.369552,5.62292,17.9053,3.22666,2.13674,0.253307
MRI-ESM2-0,abrupt4xCO2,50,18.535,31.8793,0.410198,1.07609,32.0058,0.421198,6.72439,18.535,3.26027,2.4023,0.210696
NESM3,abrupt4xCO2,50,20.673,32.9003,0.504462,0.715813,32.9336,0.449677,8.13593,20.673,3.20399,2.10677,0.328562
NorESM2-LM,abrupt4xCO2,50,18.4765,30.9049,0.511737,1.59453,30.9669,0.444909,6.60077,18.4765,1e+20,2.36305,0.285573
AWI-ESM-1-1-LR,lgm,100,9.29983,25.4366,0.469557,0.812516,25.4366,0.483863,7.51238,9.29983,2.62064,1e+20,0.452546
CCSM4,lgm,101,8.42218,25.1812,0.586145,0.872104,25.1812,0.459516,6.5639,8.42218,2.61607,1.54732,0.336165
CESM2-FV2,lgm,500,7.33418,22.8987,0.693039,0.864486,22.8987,0.539074,6.25662,7.33418,1e+20,2.07829,0.442922
CESM2-WACCM-FV2,lgm,100,6.91833,22.5889,0.537059,0.881713,22.5889,0.444549,6.16353,6.91833,2.5551,1.88293,0.37443
CNRM-CM5,lgm,200,10.5727,25.7753,0.580528,0.831351,25.7753,0.365994,8.46822,10.5727,2.87219,1.7945,0.343641
COSMOS-ASO,lgm,600,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36,9.96921e+36
FGOALS-g2,lgm,100,8.58874,24.4833,0.257713,0.395529,24.4833,0.327284,5.7529,8.58874,2.56703,1.62846,0.228567
GISS-E2-R,lgm,100,9.48219,25.9417,0.286206,0.360882,25.9417,0.228389,4.71823,9.48219,2.90878,1.55142,0.234172
INM-CM4-8,lgm,200,9.54187,25.6977,0.252236,0.533244,25.6977,0.438763,5.67192,9.54187,2.73554,1.84514,0.307376
IPSL-CM5A-LR,lgm,200,7.43754,23.0723,0.542534,0.904761,23.0723,0.432167,8.04154,7.43754,2.30962,1.61282,0.27015
MIROC-ES2L,lgm,100,10.9411,25.0105,0.440264,1.02836,25.0105,0.728602,5.42371,10.9411,2.91379,1.97334,0.333886
MIROC-ESM,lgm,100,8.59476,25.0469,0.55868,0.546994,25.0469,0.361301,5.53191,8.59476,2.5209,1.93892,0.341438
MPI-ESM1-2-LR,lgm,500,9.62715,25.7442,0.457496,1.012,25.7442,0.501848,6.82043,9.62715,2.62145,2.04638,0.380591
MPI-ESM-P,lgm,100,9.23234,24.943,0.41154,0.788486,24.943,0.461,5.25287,9.23234,2.68221,1.9993,0.448487
MRI-CGCM3,lgm,100,8.90952,23.2944,0.426495,0.576101,23.2944,0.444237,5.86332,8.90952,2.5699,1.78022,0.291415
UofT-CCSM-4,lgm,100,7.34211,24.5671,0.622939,0.631317,24.5671,0.436263,6.46696,7.34211,2.52427,1.23609,0.37554
ACCESS-ESM1-5,lig127k,200,14.916,27.0223,0.42664,0.665063,27.0223,0.47147,6.01215,14.916,3.23609,1.78525,0.291947
AWI-ESM-1-1-LR,lig127k,100,12.756,26.2185,0.636655,0.520243,26.2185,0.416666,6.0918,12.756,2.83064,2.03267,0.31768
CESM2,lig127k,700,13.9639,27.4285,0.560114,0.917884,27.4285,0.370235,7.38942,13.9639,2.92884,2.1612,0.351186
CNRM-CM6-1,lig127k,201,13.1996,27.3098,0.393479,0.535587,27.3098,0.276438,8.33642,13.1996,2.94528,2.07071,0.330838
EC-Earth3-LR,lig127k,210,13.6958,26.6643,0.414147,0.499138,26.6643,0.380326,8.42259,13.6958,2.84708,2.1416,0.344145
FGOALS-f3-L,lig127k,500,12.4606,25.9388,0.580301,1.08492,25.9388,0.335018,5.72036,12.4563,2.81587,2.07014,0.329503
FGOALS-g3,lig127k,500,14.3042,26.8165,0.36994,0.755395,26.8165,0.407787,4.3575,14.3042,2.79939,1.90592,0.265421
GISS-E2-1-G,lig127k,100,13.6781,28.0709,0.440788,1.18133,28.0709,0.363097,5.94003,13.6781,2.96182,2.16794,0.406244
HadGEM3-GC31-LL,lig127k,100,14.2875,27.3215,0.494455,0.664274,27.3215,0.469954,7.43329,14.2831,3.17991,1e+20,0.332352
INM-CM4-8,lig127k,100,13.083,26.7201,0.271,0.506708,26.7201,0.290064,5.6473,13.083,3.02526,1.67549,0.271981
IPSL-CM6A-LR,lig127k,550,12.6189,26.0464,0.476456,0.80257,26.0464,0.412392,7.40228,12.6189,2.97768,2.22833,0.371463
LOVECLIM,lig127k,100,15.7044,9.969209968386869e+36,0.0910695,0.261228,27.0502,0.368165,6.00251,15.7044,2.826966326236049,9.969209968386869e+36,9.969209968386869e+36
MIROC-ES2L,lig127k,100,14.5637,26.6497,0.480923,0.543688,26.6497,0.42363,5.4846,14.5637,3.17965,1.8273,0.287132
MPI-ESM1-2-LR,lig127k,300,13.3989,26.7069,0.67045,0.57428,26.7069,0.386138,5.80013,13.3989,2.8601,2.13851,0.342144
NESM3,lig127k,100,13.8401,27.1828,0.446721,0.536773,27.1828,0.467966,6.32245,13.8401,2.88909,2.28021,0.317495
NorESM1-F,lig127k,200,14.2271,27.2747,0.33279,0.481229,27.2747,0.311177,6.96043,14.2271,2.83234,1.89806,0.375845
