compilation,reference,site,Proxy,Latitude,Longitude,Anom,source_table,weight
Bartlein,Bartlein et al. 2011,,pollen MAT,41.0,-81.0,-0.5905,Bartlein_mat.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,41.0,-73.0,0.346,Bartlein_mat.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,49.0,-71.0,1.793,Bartlein_mat.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,47.0,-111.0,-0.331,Bartlein_mat.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,41.0,-87.0,-0.0643,Bartlein_mat.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,-3.0,29.0,-2.0548,Bartlein_mat.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,59.0,27.0,1.5177,Bartlein_mat.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,45.0,-111.0,-0.0873,Bartlein_mat.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,59.0,25.0,1.1267,Bartlein_mat.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,47.0,-79.0,0.1577,Bartlein_mat.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,49.0,-93.0,1.0725,Bartlein_mat.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,45.0,7.0,2.3223,Bartlein_mat.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,45.0,-123.0,-0.376,Bartlein_mat.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,57.0,-65.0,-3.5973,Bartlein_mat.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,47.0,-61.0,0.063,Bartlein_mat.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,27.0,-81.0,-1.128,Bartlein_mat.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,41.0,-71.0,-1.0875,Bartlein_mat.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,49.0,-73.0,2.13,Bartlein_mat.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,47.0,-65.0,3.533,Bartlein_mat.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,49.0,-101.0,-0.241,Bartlein_mat.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,61.0,25.0,1.4124,Bartlein_mat.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,49.0,15.0,-0.1392,Bartlein_mat.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,51.0,25.0,-0.0865,Bartlein_mat.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,57.0,-63.0,-1.3045,Bartlein_mat.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,51.0,-121.0,2.194,Bartlein_mat.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,47.0,9.0,2.4689,Bartlein_mat.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,1.0,35.0,6.1872,Bartlein_mat.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,41.0,-77.0,-0.483,Bartlein_mat.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,57.0,27.0,1.4676,Bartlein_mat.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,57.0,39.0,1.7943,Bartlein_mat.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,31.0,-83.0,-1.658,Bartlein_mat.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,45.0,5.0,0.1616,Bartlein_mat.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,51.0,-107.0,-0.19,Bartlein_mat.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,49.0,-67.0,1.512,Bartlein_mat.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,47.0,13.0,2.0241,Bartlein_mat.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,49.0,-85.0,0.467,Bartlein_mat.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,49.0,-59.0,3.9735,Bartlein_mat.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,61.0,-69.0,-1.6495,Bartlein_mat.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,47.0,7.0,2.34,Bartlein_mat.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,45.0,3.0,1.6438,Bartlein_mat.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,43.0,41.0,2.409,Bartlein_mat.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,43.0,-111.0,-0.1563,Bartlein_mat.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,67.0,-155.0,1.9021,Bartlein_mat.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,-1.0,37.0,4.426,Bartlein_mat.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,49.0,-123.0,-0.903,Bartlein_mat.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,49.0,99.0,5.5333,Bartlein_mat.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,49.0,-55.0,0.6205,Bartlein_mat.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,57.0,15.0,1.2683,Bartlein_mat.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,41.0,113.0,-0.7846,Bartlein_mat.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,53.0,17.0,0.5084,Bartlein_mat.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,43.0,-77.0,0.393,Bartlein_mat.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,37.0,-107.0,-0.2215,Bartlein_mat.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,61.0,31.0,0.6862,Bartlein_mat.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,55.0,-77.0,-1.4453,Bartlein_mat.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,43.0,-95.0,-1.955,Bartlein_mat.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,57.0,-5.0,0.2913,Bartlein_mat.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,65.0,33.0,0.4563,Bartlein_mat.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,63.0,15.0,1.3186,Bartlein_mat.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,67.0,-67.0,0.228,Bartlein_mat.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,49.0,21.0,1.5727,Bartlein_mat.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,43.0,-123.0,0.311,Bartlein_mat.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,37.0,-105.0,-0.073,Bartlein_mat.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,51.0,9.0,0.8,Bartlein_mat.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,37.0,-119.0,-0.5432,Bartlein_mat.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,63.0,27.0,0.5553,Bartlein_mat.csv,1.0
