compilation,reference,site,Proxy,Latitude,Longitude,recon_anom,weight,CESM2,EC-Earth3-LR,IPSL-CM6A-LR,UofT-CCSM-4
Foley-Dowsett,Foley & Dowsett 2019,ODP 999,Uk'37 SST,12.75,-78.73,0.41,1.0,2.880633154487611,2.605030756095188,2.3059472342633263,2.480826048215231
Foley-Dowsett,Foley & Dowsett 2019,ODP 1010,Uk'37 SST,29.97,-118.1,0.32,1.0,3.5105030706405644,3.078388612177287,1.5344495152386828,0.8663740434646605
Foley-Dowsett,Foley & Dowsett 2019,ODP 1018,Uk'37 SST,36.99,-123.28,1.23,1.0,3.5992626495018,3.672060267614366,2.388560251862147,0.9446663336868287
Foley-Dowsett,Foley & Dowsett 2019,ODP 1062,Uk'37 SST,28.25,-74.41,-2.32,1.0,3.4143889863967916,3.64372824397804,2.2027935311938505,2.1308897071838384
Foley-Dowsett,Foley & Dowsett 2019,ODP 1073,Uk'37 SST,39.23,-72.28,9.94,1.0,4.507546683780666,6.153056968170802,3.7722877329775564,3.4535030027448754
Foley-Dowsett,Foley & Dowsett 2019,ODP 1081,Uk'37 SST,-19.62,11.32,8.21,1.0,3.3598207957458492,3.6754679461496407,2.3544742573493522,2.3360880309295653
Foley-Dowsett,Foley & Dowsett 2019,ODP 1082,Uk'37 SST,-21.1,11.82,9.39,1.0,3.1780871237691235,3.500352682176973,2.3364708290058287,1.9314249970584434
Foley-Dowsett,Foley & Dowsett 2019,OPD 1084,Uk'37 SST,-25.52,13.03,8.35,1.0,3.1074744626600475,3.154626790528771,2.2584533108699003,2.1507506654730895
Foley-Dowsett,Foley & Dowsett 2019,ODP 1087,Uk'37 SST,-31.47,15.32,3.67,1.0,3.373715183873494,2.8598442731773055,2.1036945861730834,2.390364399475098
Foley-Dowsett,Foley & Dowsett 2019,OPD 1088,Uk'37 SST,-41.13,13.57,5.27,1.0,4.13139109217453,3.6538993164515543,2.943968700642219,3.302417122276306
Foley-Dowsett,Foley & Dowsett 2019,*OPD 1115,Uk'37 SST,-9.19,151.57,0.9,1.0,3.1486077709376024,3.3454278293922686,2.3013290841010816,2.2375917256418854
Foley-Dowsett,Foley & Dowsett 2019,ODP 1125,Uk'37 SST,-42.55,-178.17,5.16,1.0,4.027559411053128,2.689615991412545,1.4841348938939367,3.0226534309196476
Foley-Dowsett,Foley & Dowsett 2019,OPD 1143,Uk'37 SST,9.37,113.28,0.46,1.0,3.3295339800059,2.5231420930963493,1.8216477732804037,2.7046335702548556
Foley-Dowsett,Foley & Dowsett 2019,ODP 1146,Uk'37 SST,19.46,116.27,2.62,1.0,3.1423797654130725,3.5533490091753572,1.9013420199686408,2.7477298531256786
Foley-Dowsett,Foley & Dowsett 2019,ODP 1241,Uk'37 SST,5.85,-86.45,0.47,1.0,3.5451122415542597,2.5015494641667098,1.88133967463255,2.899114669609069
Foley-Dowsett,Foley & Dowsett 2019,IODP 1308,Uk'37 SST,49.88,-24.24,3.85,1.0,5.951635107708401,9.201206441749745,4.160060219934625,8.143760595560714
Foley-Dowsett,Foley & Dowsett 2019,IODP 1313,Uk'37 SST,41.0,-32.95,3.14,1.0,5.179529298994276,9.489546399845576,3.5204930422149543,3.4760650045606813
Foley-Dowsett,Foley & Dowsett 2019,IODP 1425,Uk'37 SST,39.49,134.44,5.73,1.0,5.208497990846846,5.346849647504808,3.4851641076542403,3.401354586359237
