model,compilation,n_points,rmse,bias
CESM2,Foley-Dowsett,37,2.980966795779281,0.4441992005469517
CESM2,Tierney,62640,1.642214619623231,0.8479497316363944
EC-Earth3-LR,Foley-Dowsett,37,3.6069246162289588,1.3705976413793557
EC-Earth3-LR,Tierney,61920,2.222682868080835,0.787772382358605
GISS-E2-1-G,Foley-Dowsett,37,3.7200944534079188,-2.1498037291614427
GISS-E2-1-G,Tierney,62466,2.7890859217680353,-1.9969476873454601
HadGEM3-GC31-LL,Foley-Dowsett,37,3.0662793608790047,0.6609471781723436
HadGEM3-GC31-LL,Tierney,62466,1.8297655665469272,1.0688537135417941
IPSL-CM6A-LR,Foley-Dowsett,37,3.0230317852511,-1.0632195216090652
IPSL-CM6A-LR,Tierney,62640,1.686930418417761,-0.833968376757911
NorESM1-F,Foley-Dowsett,37,4.1863554945526875,-2.44997993644792
NorESM1-F,Tierney,62640,2.912092930896981,-2.370410885642419
UofT-CCSM-4,Foley-Dowsett,37,3.191750977450234,-0.03483852852227893
UofT-CCSM-4,Tierney,62640,1.9065441583005371,0.08560208680533161
