model,Bartlein_RMSE,Erb_RMSE,P2F_RMSE,Temp12k_RMSE
ACCESS-ESM1-5,2.364555132429001,0.5366618987872568,2.1009145936603013,1.9709915405242806
AWI-ESM-1-1-LR,2.4893626746078694,0.750848398243995,2.1922856708167515,2.1215276016027818
BCC-CSM1-1,2.368526941337284,0.3633426320050022,2.0447189660868696,1.9580000241944953
CCSM4,2.4025767800610622,0.4879963961779551,2.132873090831825,2.040162855684115
CESM2,2.3928565748680395,0.4189599660592331,2.0487020408263663,1.9235701873456217
CNRM-CM5,2.40456127423342,0.3633863353946161,1.9735629104740504,1.9392155122157921
CSIRO-Mk3-6-0,2.3756642449808676,0.38334255560283287,1.9562287103476153,1.871264469800709
EC-Earth3,2.3653809723878774,0.4537278498026458,1.9895488915441089,1.9374986182794212
EC-Earth3-LR,2.415571614553004,0.47964295506567683,2.132224843323202,2.013331256340798
FGOALS-f3-L,2.3866503442832623,0.5294401684391701,2.1061358636861294,2.006342041971685
FGOALS-g2,2.497830991848072,0.8817540087425142,2.304579179854681,2.2040906174518353
FGOALS-g3,2.4122374061258216,0.48229659529592855,2.0953543182579284,1.9252249527865004
FGOALS-s2,2.3674101581721345,0.4456330859578183,2.0319926930165346,1.941737656927894
GISS-E2-1-G,2.387455466845862,0.5507320682526028,2.096054697066693,2.0023079940133126
GISS-E2-R,2.382809047134621,0.5804721063354749,2.051379673865562,1.9581562581802316
HadGEM2-CC,2.465281497029603,0.5131807761785047,2.079423210216705,2.0484221037045054
HadGEM2-ES,2.467519027950273,0.45465214705227197,1.974343719019048,1.933465782153419
HadGEM3-GC31-LL,2.364591303602741,0.4406641984970733,1.9998221313146989,1.9176669648480626
INM-CM4-8,2.37758204808282,0.503483787452637,2.058152886403486,2.0232524842401953
IPSL-CM5A-LR,2.3734581923543683,0.30850921364536044,2.010045267714006,1.8904178594421999
IPSL-CM6A-LR,2.39943876749275,0.5432061748318775,2.1383036529250004,2.0311265960564544
MIROC-ES2L,2.441020129237748,0.6590137232096138,2.20928631125824,2.0917813264488787
MIROC-ESM,2.438179987552366,0.6698332797601118,2.1003536718047653,2.055795888846049
MPI-ESM-P,2.3776744027688568,0.49439672923909805,2.0524978778592797,1.9254443893369972
MPI-ESM1-2-LR,2.39288052684868,0.6255239184812954,2.0910138385962695,2.023545201870429
MRI-CGCM3,2.379061160989873,0.33811194656291027,1.9533962938281209,1.9158899239323042
MRI-ESM2-0,2.3796597390894356,0.46447229550957697,2.0281750347519236,1.9437147923900577
NESM3,2.3805080625688206,0.5939898043226048,2.09969014106903,2.0520282956253064
NorESM1-F,2.4151248064351734,0.5590599987822535,2.1368962900859816,2.0449816573372797
NorESM2-LM,2.3862099815142783,0.40502226271971264,2.0721974489350674,1.9564207591992278
UofT-CCSM-4,2.3478310859067237,0.4807042759007353,2.0709821337407006,1.9461912842711968
