compilation,reference,site,Proxy,Latitude,Longitude,Anom,source_table,weight
Bartlein,Bartlein et al. 2011,,pollen MAT,-27.0,25.0,-7.7,Bartlein_mat_21ka.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,41.0,25.0,-5.1,Bartlein_mat_21ka.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,49.0,27.0,-10.9667,Bartlein_mat_21ka.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,-29.0,29.0,-2.7,Bartlein_mat_21ka.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,-25.0,29.0,-8.4,Bartlein_mat_21ka.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,-5.0,29.0,-1.3,Bartlein_mat_21ka.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,-3.0,29.0,-0.2333,Bartlein_mat_21ka.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,-1.0,29.0,-0.65,Bartlein_mat_21ka.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,37.0,29.0,-1.2,Bartlein_mat_21ka.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,-11.0,31.0,-1.3,Bartlein_mat_21ka.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,-9.0,31.0,-1.75,Bartlein_mat_21ka.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,39.0,31.0,-3.8,Bartlein_mat_21ka.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,47.0,31.0,-8.8667,Bartlein_mat_21ka.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,1.0,35.0,-0.4,Bartlein_mat_21ka.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,35.0,35.0,-11.1,Bartlein_mat_21ka.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,-1.0,37.0,-3.25,Bartlein_mat_21ka.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,1.0,37.0,1.5,Bartlein_mat_21ka.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,57.0,37.0,-12.25,Bartlein_mat_21ka.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,47.0,39.0,-13.25,Bartlein_mat_21ka.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,57.0,39.0,-12.0,Bartlein_mat_21ka.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,59.0,39.0,-9.7,Bartlein_mat_21ka.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,41.0,41.0,-8.55,Bartlein_mat_21ka.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,43.0,41.0,-8.375,Bartlein_mat_21ka.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,57.0,41.0,-7.0,Bartlein_mat_21ka.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,41.0,45.0,-11.1,Bartlein_mat_21ka.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,-19.0,47.0,3.2,Bartlein_mat_21ka.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,35.0,47.0,-6.8,Bartlein_mat_21ka.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,-19.0,49.0,-1.9,Bartlein_mat_21ka.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,55.0,57.0,-4.075,Bartlein_mat_21ka.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,57.0,63.0,-6.65,Bartlein_mat_21ka.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,65.0,65.0,-6.6,Bartlein_mat_21ka.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,67.0,65.0,-6.8333,Bartlein_mat_21ka.csv,1.0
Bartlein,Bartlein et al. 2011,,pollen MAT,65.0,67.0,-6.9,Bartlein_mat_21ka.csv,1.0
