compilation,reference,site,Proxy,Latitude,Longitude,recon_anom,ACCESS-ESM1-5,AWI-ESM-1-1-LR,CESM2,CNRM-CM6-1,EC-Earth3-LR,FGOALS-f3-L,FGOALS-g3,GISS-E2-1-G,HadGEM3-GC31-LL,INM-CM4-8,IPSL-CM6A-LR,LOVECLIM,MIROC-ES2L,MPI-ESM1-2-LR,NESM3,NorESM1-F,NorESM2-LM
Hoffman,Hoffman et al. 2017,ODP662,Alkenones,-1.38,-11.74,1.0,-0.014781444091797057,-0.4127256069036964,-0.44903994769287126,0.16937330071434187,0.007400641591658135,-0.7795278762817384,-0.43262517101287845,-0.29419201202392575,-0.10262784557088221,-0.1565523124694826,-0.15081237396394093,-0.08688920360811621,-0.8250097436049294,-0.3404557764602001,-0.12881323515180543,-0.3969955440266928,-0.24324741788228335
Hoffman,Hoffman et al. 2017,GeoB1105,Alkenones,-1.67,-12.43,1.9,-0.06620002278645847,-0.4232635328481697,-0.46992393162028023,0.14589544946251445,0.00442204565297378,-0.7879180492401123,-0.4278044875037672,-0.2979532676696777,-0.1408415324707031,-0.1610133880615235,-0.20174158819551294,-0.09360149432681386,-0.8420122026089453,-0.35226033867109224,-0.11759255729432717,-0.4250061942821079,-0.2741854096561005
Hoffman,Hoffman et al. 2017,GeoB1105,Mg/Ca,-1.67,-12.43,-0.4,-0.06620002278645847,-0.4232635328481697,-0.46992393162028023,0.14589544946251445,0.00442204565297378,-0.7879180492401123,-0.4278044875037672,-0.2979532676696777,-0.1408415324707031,-0.1610133880615235,-0.20174158819551294,-0.09360149432681386,-0.8420122026089453,-0.35226033867109224,-0.11759255729432717,-0.4250061942821079,-0.2741854096561005
Hoffman,Hoffman et al. 2017,GeoB1112,Forams,-5.77,-10.74,0.0,-0.40039331530761707,-0.4901487027595408,-0.6329139683024088,-0.16914350261073802,-0.4056240265632586,-0.8049318493652344,-0.514194087305069,-0.4378977713775634,-0.4638593203124999,-0.26346658401489254,-0.5740505400659218,-0.10806135125816031,-1.0010626722480493,-0.3854126279821644,-0.08640505196698399,-0.5998917758221096,-0.6673347711096866
Hoffman,Hoffman et al. 2017,GeoB1112,Mg/Ca,-5.77,-10.74,0.4,-0.40039331530761707,-0.4901487027595408,-0.6329139683024088,-0.16914350261073802,-0.4056240265632586,-0.8049318493652344,-0.514194087305069,-0.4378977713775634,-0.4638593203124999,-0.26346658401489254,-0.5740505400659218,-0.10806135125816031,-1.0010626722480493,-0.3854126279821644,-0.08640505196698399,-0.5998917758221096,-0.6673347711096866
Hoffman,Hoffman et al. 2017,GeoB1711-4,Alkenones,-23.31,12.38,3.2,-0.18825184676106765,-0.10052783739663114,-0.3479065822219849,0.06134521484009275,-0.46101278966203973,-0.5865289167785644,-0.09153596413135526,-0.36353834697723386,-0.7061245183105469,-0.24343929824829097,-0.7336379428617557,-0.051575271057896825,-0.48240046283447774,0.6380755805697789,0.7750123593424929,-0.3974288930129999,-0.7893683289337154
Hoffman,Hoffman et al. 2017,GeoB1710-3,Alkenones,-23.43,11.7,3.0,-0.2353188464355469,-0.14940827706882862,-0.3509879495620728,0.02585612737056106,-0.4456313973440997,-0.5872264308929444,-0.08604067435264579,-0.3892079633712769,-0.6901678169250488,-0.2362057304382324,-0.7358207026319359,-0.06926446201581676,-0.4830776231524893,0.5523046196011383,0.8003608732686232,-0.45666296329498257,-0.7923569147745766
Hoffman,Hoffman et al. 2017,MD96-2080,Mg/Ca,-36.32,19.47,6.2,-0.18963890454101567,-0.1476196292488983,-0.2932780189242893,0.20861435168304993,-0.11902239112292316,-0.49018885574340826,-0.2150200933742523,-0.285060432434082,-0.22663104235839854,-0.2573240500132243,-0.6088729143635138,-0.28798642256897844,-1.1983145619069773,-0.24618706352157954,0.5123190619611585,-0.521000547536214,-0.40754208340115006
Hoffman,Hoffman et al. 2017,V22-174,Coccolithophore,-10.07,-12.82,-0.7,-0.3866279897460938,-0.4173482038708546,-0.6787277305408053,-0.08827073766253554,-0.45252414259386264,-0.6526150950622558,-0.40943566699981704,-0.4743352353286743,-0.4775873278198243,-0.22961775995890302,-0.738915649960405,-0.16388204489334657,-0.987314425710055,-0.3508597740929191,-0.039210182471285715,-0.7388364607450697,-0.6772932829708523
Hoffman,Hoffman et al. 2017,RC13-228,Forams,-22.33,11.2,-4.9,-0.27060168253580735,-0.21592012423904938,-0.3590960304811266,0.0976186749668659,-0.41988281867274846,-0.6246624713897706,-0.10629721019268046,-0.40200771846771244,-0.6831763439941406,-0.16660262044270824,-0.7936107349149973,-0.09711424258114604,-0.42594354332498335,0.6287428345978204,0.7386397655821426,-0.4418317206276784,-0.7634995565838282
Hoffman,Hoffman et al. 2017,RC13-228,Coccolithophore,-22.33,11.2,0.9,-0.27060168253580735,-0.21592012423904938,-0.3590960304811266,0.0976186749668659,-0.41988281867274846,-0.6246624713897706,-0.10629721019268046,-0.40200771846771244,-0.6831763439941406,-0.16660262044270824,-0.7936107349149973,-0.09711424258114604,-0.42594354332498335,0.6287428345978204,0.7386397655821426,-0.4418317206276784,-0.7634995565838282
Hoffman,Hoffman et al. 2017,RC13-228,Radiolaria,-22.33,11.2,2.6,-0.27060168253580735,-0.21592012423904938,-0.3590960304811266,0.0976186749668659,-0.41988281867274846,-0.6246624713897706,-0.10629721019268046,-0.40200771846771244,-0.6831763439941406,-0.16660262044270824,-0.7936107349149973,-0.09711424258114604,-0.42594354332498335,0.6287428345978204,0.7386397655821426,-0.4418317206276784,-0.7634995565838282
Hoffman,Hoffman et al. 2017,RC13-229,Forams,-25.5,11.3,-0.3,-0.23045957438151038,-0.14797044165927467,-0.3141509265899659,0.033531281929114753,-0.4105661399313145,-0.5142041778564452,-0.12882752448320398,-0.3971326541900635,-0.5333745651245118,-0.1917587757110596,-0.6528286005530756,-0.056867650681858554,-0.6358949230478685,0.29094130205821067,0.8986709260791151,-0.5571322441101072,-0.7961190795898438
Hoffman,Hoffman et al. 2017,RC13-229,Radiolaria,-25.5,11.3,2.4,-0.23045957438151038,-0.14797044165927467,-0.3141509265899659,0.033531281929114753,-0.4105661399313145,-0.5142041778564452,-0.12882752448320398,-0.3971326541900635,-0.5333745651245118,-0.1917587757110596,-0.6528286005530756,-0.056867650681858554,-0.6358949230478685,0.29094130205821067,0.8986709260791151,-0.5571322441101072,-0.7961190795898438
Hoffman,Hoffman et al. 2017,RC11-86,Forams,-35.78,18.45,-0.5,-0.19993333435058597,-0.14583763364373775,-0.2755242303890652,0.216107251555586,-0.10118156677268157,-0.48578638458251966,-0.20009680990576736,-0.2858246929168701,-0.2109310406494142,-0.13430922762552908,-0.6157023539766974,-0.2903436579998124,-1.182249110547152,-0.2572993218511655,0.5015830267002648,-0.5093360586166381,-0.37991940413581
Hoffman,Hoffman et al. 2017,RC11-86,Coccolithophore,-35.78,18.45,3.7,-0.19993333435058597,-0.14583763364373775,-0.2755242303890652,0.216107251555586,-0.10118156677268157,-0.48578638458251966,-0.20009680990576736,-0.2858246929168701,-0.2109310406494142,-0.13430922762552908,-0.6157023539766974,-0.2903436579998124,-1.182249110547152,-0.2572993218511655,0.5015830267002648,-0.5093360586166381,-0.37991940413581
Hoffman,Hoffman et al. 2017,RC12-294,Forams,-37.27,-10.1,1.8,-0.28682590830484966,-0.18712698918982212,-0.22427276030010654,0.15089461034402085,-0.2656521915819422,-0.5516340600967407,0.034748523589969015,-0.3614085383415223,0.09821091807047591,-0.5192129281361892,-0.3489318299152844,-0.1253486889852475,-1.204392043802316,-0.17615029283299688,0.4022531127178782,-0.5330984881083223,-0.23117268767886712
Hoffman,Hoffman et al. 2017,RC12-294,Coccolithophore,-37.27,-10.1,2.6,-0.28682590830484966,-0.18712698918982212,-0.22427276030010654,0.15089461034402085,-0.2656521915819422,-0.5516340600967407,0.034748523589969015,-0.3614085383415223,0.09821091807047591,-0.5192129281361892,-0.3489318299152844,-0.1253486889852475,-1.204392043802316,-0.17615029283299688,0.4022531127178782,-0.5330984881083223,-0.23117268767886712
Hoffman,Hoffman et al. 2017,GeoB10038-4,Mg/Ca,-5.94,103.25,-0.5,-0.3248603698730469,-0.04973779049231661,-0.27178166351318356,0.10979995313358648,-0.30516436917993695,-0.6267664871215821,-0.32476526159047986,-0.3477958259582519,-0.22388580449422202,-0.22969093799591064,-0.6295809065690467,0.057936041590187025,-0.6802539278491656,-0.3782021546598351,-0.14437015626130728,-0.3775600633621217,-0.29915487098693844
Hoffman,Hoffman et al. 2017,GeoB10038-4,Alkenones,-5.94,103.25,-0.9,-0.3248603698730469,-0.04973779049231661,-0.27178166351318356,0.10979995313358648,-0.30516436917993695,-0.6267664871215821,-0.32476526159047986,-0.3477958259582519,-0.22388580449422202,-0.22969093799591064,-0.6295809065690467,0.057936041590187025,-0.6802539278491656,-0.3782021546598351,-0.14437015626130728,-0.3775600633621217,-0.29915487098693844
Hoffman,Hoffman et al. 2017,MD01-2378,Mg/Ca,-13.08,121.79,0.7,0.4980972245279949,0.06320816526566055,0.35032532599894206,0.8502472694286533,0.4977558356788706,0.15332532546997082,0.3188575720286368,0.30196011962890634,0.6903633595377605,0.2329442039489746,0.2566556815392062,0.24710746829045394,-0.15988114114605934,0.4220605747906598,0.7806029809640411,0.34482848098754837,0.23686223353067987
Hoffman,Hoffman et al. 2017,V34-88,Forams,16.52,59.53,-0.7,-0.5397797078043618,-0.09547102859627116,-0.5807591087341315,-0.5772163330403134,-0.34626776388904446,-0.8231229995727543,-1.0529395377993587,-0.8286123852539061,0.01112390301513673,-0.16077278353373203,-0.7416972239540435,-0.1963188798304174,-0.9659185921950669,0.0020234856529253824,-0.35525653740749286,-0.6745074827321379,-0.43057718513488896
Hoffman,Hoffman et al. 2017,RC12-339,Forams,9.13,90.03,-1.2,-0.6594227391357423,-0.08996739899944305,-0.6180682063751222,-0.016491944835099054,-0.2843235429840708,-0.6592995310211183,-0.5445888467091325,-0.6957632367706299,-0.1081040691223145,-0.28299083595275887,-0.4470344382907712,-0.4227230799175515,-0.7233795528137277,-0.5667194792509584,-0.2687769532833914,-0.9566850301255121,-0.8077301547516719
