model,Foley-Dowsett_RMSE,Tierney_RMSE
CESM2,2.980966795779281,1.642214619623231
EC-Earth3-LR,3.6069246162289588,2.222682868080835
GISS-E2-1-G,3.7200944534079188,2.7890859217680353
HadGEM3-GC31-LL,3.0662793608790047,1.8297655665469272
IPSL-CM6A-LR,3.0230317852511,1.686930418417761
NorESM1-F,4.1863554945526875,2.912092930896981
UofT-CCSM-4,3.191750977450234,1.9065441583005371
