lat, lon, mat_anm_mean, mat_se_mean, mat_tstat,mat_sig, mat_sig_val,mat_npts,p
63,-145,-0.9168,0.4975,-1.8427,0,0,8,0.706107277
67,-153,-0.1963,0.4979,-0.3943,0,0,8,0.705903184
59,23,-0.4426,0.4988,-0.8872,0,0,9,0.705444213
55,13,1.6664,0.5036,3.3088,1,1.6664,9,0.703001941
51,5,0.5512,0.5049,1.0918,0,0,9,0.70234211
57,-3,0.5522,0.5079,1.0872,0,0,9,0.700822055
65,-127,0.1206,0.5096,0.2367,0,0,9,0.699962323
43,-1,-1.7371,0.5101,-3.4051,-1,-1.7371,9,0.699709685
63,35,0.29,0.5104,0.5682,0,0,8,0.699558152
43,-3,0.7589,0.5106,1.4862,0,0,10,0.69945715
31,121,-1.2429,0.5114,-2.4305,-1,-1.2429,7,0.699053306
61,29,0.7097,0.5117,1.3871,0,0,8,0.698901932
43,-7,1.1196,0.5118,2.1876,1,1.1196,9,0.698851483
57,41,2.148,0.5138,4.1804,1,2.148,6,0.697843346
55,-3,2.1677,0.5144,4.214,1,2.1677,8,0.697541225
51,-117,1.7277,0.5148,3.3564,1,1.7277,4,0.697339892
49,89,0.575,0.517,1.1122,0,0,8,0.696233736
47,-1,-0.4017,0.5196,-0.7731,0,0,6,0.694929017
57,35,1.5703,0.5199,3.0206,1,1.5703,6,0.694778651
53,21,0.9089,0.5214,1.7433,0,0,9,0.694027375
57,57,0.1335,0.5297,0.252,0,0,6,0.689887013
51,21,-0.4934,0.5329,-0.926,0,0,9,0.688298294
65,31,0.7005,0.5361,1.3066,0,0,8,0.686713788
55,-7,0.7421,0.5364,1.3835,0,0,8,0.686565457
59,13,3.1745,0.541,5.868,1,3.1745,7,0.684295688
59,15,2.6727,0.5419,4.9317,1,2.6727,7,0.683852623
53,-3,1.4627,0.5422,2.6976,1,1.4627,7,0.683705009
51,23,0.6931,0.5442,1.2736,0,0,7,0.682721863
57,61,2.194,0.5451,4.0249,1,2.194,4,0.682279985
57,-119,0.625,0.5465,1.1436,0,0,1,0.681593284
7,39,5.3742,0.551,9.7538,1,5.3742,8,0.679391508
61,87,-0.1833,0.5516,-0.3324,0,0,6,0.67909857
67,25,-0.3055,0.5532,-0.5522,0,0,8,0.678318127
67,-143,-0.1843,0.5543,-0.3325,0,0,6,0.677782186
63,-123,-3.946,0.5549,-7.1112,-1,-3.946,1,0.677490065
61,77,-1.3333,0.5558,-2.3988,-1,-1.3333,6,0.677052162
39,21,-0.8213,0.5562,-1.4766,0,0,8,0.676857646
43,13,-0.8434,0.5579,-1.5117,0,0,9,0.67603169
53,-61,-1.234,0.559,-2.2075,-1,-1.234,1,0.675497885
61,35,-0.4981,0.5612,-0.8876,0,0,7,0.674431773
41,47,2.3,0.5612,4.0984,1,2.3,1,0.674431773
37,99,0.7,0.5612,1.2473,0,0,1,0.674431773
43,-93,0.4988,0.5627,0.8864,0,0,5,0.673706026
43,29,-0.4661,0.5627,-0.8284,0,0,8,0.673706026
69,-133,0.6052,0.5681,1.0652,0,0,8,0.671101035
41,21,-2.037,0.5686,-3.5825,-1,-2.037,8,0.670860442
45,-121,4.593,0.5688,8.0749,1,4.593,1,0.670764234
63,-7,0.7812,0.5711,1.3678,0,0,6,0.669659027
59,69,-1.0202,0.5716,-1.7848,0,0,6,0.669419054
55,-71,-3.142,0.5741,-5.4729,-1,-3.142,1,0.66822074
55,59,0.8882,0.5744,1.5463,0,0,5,0.668077116
53,-57,-2.362,0.5761,-4.0999,-1,-2.362,2,0.667263949
61,27,1.098,0.5814,1.8886,0,0,5,0.664736453
55,-119,-0.751,0.5824,-1.2895,0,0,1,0.66426087
19,13,2.1333,0.5824,3.6629,1,2.1333,3,0.66426087
59,31,1.67,0.5834,2.8624,1,1.67,5,0.6637857
51,-67,4.2095,0.5836,7.2131,1,4.2095,2,0.663690715
23,-3,-1.4,0.5867,-2.3862,-1,-1.4,1,0.662220572
53,-9,-0.9077,0.5902,-1.5378,0,0,6,0.660565507
59,-63,0.097,0.5908,0.1642,0,0,1,0.660282291
53,9,-0.2497,0.5915,-0.4222,0,0,7,0.659952059
61,9,4.6705,0.5923,7.8856,1,4.6705,4,0.659574899
47,-123,-3.726,0.5934,-6.2791,-1,-3.726,1,0.659056737
-5,29,-1.9454,0.5946,-3.2717,-1,-1.9454,9,0.658492039
67,29,1.5219,0.5962,2.5525,1,1.5219,7,0.657740034
49,25,0.2743,0.6007,0.4567,0,0,6,0.65563069
57,37,2.2448,0.601,3.7349,1,2.2448,5,0.655490364
49,23,-0.1603,0.6042,-0.2654,0,0,6,0.653995872
55,31,0.1968,0.6048,0.3255,0,0,6,0.653716125
67,-157,0.0782,0.6075,0.1288,0,0,6,0.652459103
