model,compilation,n_points,rmse,bias,model_mean,recon_mean
ACCESS-ESM1-5,Bartlein,87,1.5637207096304666,-0.2443494864770736,0.7348229273160298,0.9791724137931035
ACCESS-ESM1-5,Erb,40,0.2182255893027991,0.15542813065581687,0.7550668907743953,0.5996387601185784
ACCESS-ESM1-5,P2F,7,3.105032732379306,2.086356018766611,1.2595288370564774,-0.8268271817101335
ACCESS-ESM1-5,Temp12k,41,1.6911497754716944,0.252785254856946,0.8078485853691411,0.5550633305121951
AWI-ESM-1-1-LR,Bartlein,87,2.149729588636071,-1.5277752991506413,-0.5486028853575379,0.9791724137931035
AWI-ESM-1-1-LR,Erb,40,1.2104842462395913,-1.189230958410321,-0.5895921982917425,0.5996387601185784
AWI-ESM-1-1-LR,P2F,7,1.8532416209272062,0.4657633562948642,-0.3610638254152691,-0.8268271817101335
AWI-ESM-1-1-LR,Temp12k,41,1.88485717276123,-1.1030792405204957,-0.5480159100083005,0.5550633305121951
BCC-CSM1-1,Bartlein,87,1.6550427138511286,-0.722655035588114,0.25651737820498954,0.9791724137931035
BCC-CSM1-1,Erb,40,0.3247852618138138,-0.2795292475397128,0.32010951257886566,0.5996387601185784
BCC-CSM1-1,P2F,7,2.485329669883229,1.2477140400099083,0.4208868582997744,-0.8268271817101335
BCC-CSM1-1,Temp12k,41,1.5955109733400772,-0.29039299012914455,0.26467034038305054,0.5550633305121951
CCSM4,Bartlein,87,1.886949743091112,-1.094052941599822,-0.11488052780671847,0.9791724137931035
CCSM4,Erb,40,0.7872031259798671,-0.7246980259414127,-0.12505926582283433,0.5996387601185784
CCSM4,P2F,7,2.1120704684699003,0.658369353578839,-0.16845782813129453,-0.8268271817101335
CCSM4,Temp12k,41,1.63714397363819,-0.6488725894777697,-0.09380925896557456,0.5550633305121951
CESM2,Bartlein,87,1.7480814024532856,-0.8523255105141175,0.12684690327898593,0.9791724137931035
CESM2,Erb,40,0.5216791875733643,-0.45788599425225807,0.14175276586632035,0.5996387601185784
CESM2,P2F,7,2.26431204992639,0.9583685298889666,0.13154134817883315,-0.8268271817101335
CESM2,Temp12k,41,1.5628332056711884,-0.42172706666561893,0.1333362638465761,0.5550633305121951
CNRM-CM5,Bartlein,87,1.6164429936495193,-0.38448282302700537,0.594689590766098,0.9791724137931035
CNRM-CM5,Erb,40,0.12042170340330138,0.0027401676724499056,0.6023789277910283,0.5996387601185784
CNRM-CM5,P2F,7,2.542110898717408,1.544271251975332,0.7174440702651985,-0.8268271817101335
CNRM-CM5,Temp12k,41,1.5692688126227583,0.03283345924731522,0.5878967897595103,0.5550633305121951
CSIRO-Mk3-6-0,Bartlein,87,1.5154031248372755,-0.42986783133605405,0.5493045824570494,0.9791724137931035
CSIRO-Mk3-6-0,Erb,40,0.2901201233645102,-0.004425586216618407,0.59521317390196,0.5996387601185784
CSIRO-Mk3-6-0,P2F,7,2.211961233043781,1.014118718022377,0.18729153631224324,-0.8268271817101335
CSIRO-Mk3-6-0,Temp12k,41,1.473653384869146,-0.050800871156728766,0.5042624593554664,0.5550633305121951
EC-Earth3,Bartlein,87,1.6862140132886512,-0.7700721355919503,0.2091002782011529,0.9791724137931035
EC-Earth3,Erb,40,0.3548529910444196,-0.3182062826011366,0.2814324775174419,0.5996387601185784
EC-Earth3,P2F,7,2.189571519903962,0.9664834091446102,0.1396562274344765,-0.8268271817101335
EC-Earth3,Temp12k,41,1.5705868933228537,-0.3515042425466237,0.2035590879655714,0.5550633305121951
EC-Earth3-LR,Bartlein,87,1.5555980108703715,-0.2484303731900248,0.7307420406030786,0.9791724137931035
EC-Earth3-LR,Erb,40,0.4362613007912812,0.27058279469041835,0.8702215548089968,0.5996387601185784
EC-Earth3-LR,P2F,7,2.914346132282456,1.9777736470272502,1.1509464653171169,-0.8268271817101335
EC-Earth3-LR,Temp12k,41,1.6582650025350358,0.2511149781741295,0.8061783086863247,0.5550633305121951
FGOALS-f3-L,Bartlein,87,1.7928825883474508,-0.9596139115957093,0.0195585021973941,0.9791724137931035
FGOALS-f3-L,Erb,32,0.6129063867455748,-0.5540393703682809,0.03225441636041594,0.5996387601185784
FGOALS-f3-L,P2F,7,2.1668735515562263,0.8304702731489717,0.0036430914388384567,-0.8268271817101335
FGOALS-f3-L,Temp12k,39,1.554775738979786,-0.5824753054182992,0.045376212761188146,0.5550633305121951
FGOALS-g2,Bartlein,87,2.0463048679238023,-1.3793496549450188,-0.4001772411519156,0.9791724137931035
FGOALS-g2,Erb,40,1.0366125694949646,-1.0044223012541142,-0.4047835411355356,0.5996387601185784
FGOALS-g2,P2F,7,1.9795830553812053,0.3069628899769298,-0.5198642917332037,-0.8268271817101335
FGOALS-g2,Temp12k,41,1.804016425987728,-0.964976592963131,-0.4099132624509358,0.5550633305121951
FGOALS-g3,Bartlein,87,1.6466853403247543,-0.6366759275534125,0.3424964862396908,0.9791724137931035
FGOALS-g3,Erb,40,0.7120811572358388,-0.2827220211599272,0.3169167389586512,0.5996387601185784
FGOALS-g3,P2F,7,2.096290691075988,0.6943635817058597,-0.13246360000427387,-0.8268271817101335
FGOALS-g3,Temp12k,41,1.4724982953411567,-0.17293605795398842,0.38212727255820667,0.5550633305121951
FGOALS-s2,Bartlein,87,1.6432920515924487,-0.729948861354316,0.2492235524387874,0.9791724137931035
FGOALS-s2,Erb,40,0.46137685543080503,-0.33408856697001665,0.2655501931485618,0.5996387601185784
FGOALS-s2,P2F,7,2.1572122011434502,0.6667829556875751,-0.16004422602255847,-0.8268271817101335
