model,compilation,n_points,rmse,bias,model_mean,recon_mean
CESM2,Foley-Dowsett,3,1.4922928806462097,0.543397441335607,5.720064108002274,5.176666666666667
CESM2,Tierney,315,0.6274036247441395,0.006177001101484565,4.87639089257533,4.870213891473845
EC-Earth3-LR,Foley-Dowsett,3,3.9374552470579487,3.5395603562854583,8.716227022952125,5.176666666666667
EC-Earth3-LR,Tierney,315,3.250473832957689,2.870033735348224,7.740247626822069,4.870213891473845
GISS-E2-1-G,Foley-Dowsett,3,2.85709623485579,-2.686613436253865,2.490053230412802,5.176666666666667
GISS-E2-1-G,Tierney,294,3.5842228048719997,-3.482946907739103,1.4061381207948913,4.870213891473845
HadGEM3-GC31-LL,Foley-Dowsett,3,1.3979778631884074,-1.0312022835981585,4.145464383068508,5.176666666666667
HadGEM3-GC31-LL,Tierney,294,1.107340624061315,0.8723272575118219,5.761412286045817,4.870213891473845
IPSL-CM6A-LR,Foley-Dowsett,3,1.5217838336763716,-1.0344117281872502,4.142254938479417,5.176666666666667
IPSL-CM6A-LR,Tierney,315,1.3124077832872632,-1.1161789978449106,3.7540348936289343,4.870213891473845
NorESM1-F,Foley-Dowsett,3,2.5764427284857407,-2.353714635897035,2.8229520307696316,5.176666666666667
NorESM1-F,Tierney,315,2.84305662609891,-2.7416034416127633,2.128610449861082,4.870213891473845
UofT-CCSM-4,Foley-Dowsett,3,3.0863524983883104,2.793390772275012,7.970057438941679,5.176666666666667
UofT-CCSM-4,Tierney,315,1.8043305844683604,0.6462993114530738,5.5165132029269195,4.870213891473845
