model,compilation,n_points,rmse,bias
ACCESS-ESM1-5,Hoffman,4,2.9974046359156556,2.7205409174753834
AWI-ESM-1-1-LR,Hoffman,4,2.164972265500891,0.42081231887827947
CESM2,Hoffman,4,1.378738938421127,-0.07119184716553262
CNRM-CM6-1,Hoffman,4,1.5393041642140677,0.49402141061098986
EC-Earth3-LR,Hoffman,4,3.8679460724191594,3.584819912693161
FGOALS-f3-L,Hoffman,4,1.6229976044310142,0.10608945411443749
FGOALS-g3,Hoffman,4,1.604261728465932,0.501085383862893
GISS-E2-1-G,Hoffman,4,1.5383407940400773,0.13540305036544792
HadGEM3-GC31-LL,Hoffman,4,1.7704192511161716,1.2303478177706404
INM-CM4-8,Hoffman,4,1.5269414909432406,0.10458475556373587
IPSL-CM6A-LR,Hoffman,4,1.5010136396746645,-0.026818201019848997
LOVECLIM,Hoffman,4,1.7735769482373684,0.1182581188854512
MIROC-ES2L,Hoffman,4,1.3040548670768461,0.15240360339808842
MPI-ESM1-2-LR,Hoffman,4,1.5085860371800457,-0.4738031179474942
NESM3,Hoffman,4,1.2353191667011851,-0.09310691430879103
NorESM1-F,Hoffman,4,1.6020475407157373,-0.20330280589096916
NorESM2-LM,Hoffman,4,1.366643251501715,-0.3646452121369696
