lat, lon, mat_anm_mean, mat_se_mean, mat_tstat,mat_sig, mat_sig_val,mat_npts
   -9.000000,    31.000000,        -1.7500,         0.9070,        -1.9294,         0.0000,         0.0000,     2
   39.000000,    31.000000,        -3.8000,         1.5306,        -2.4827,        -1.0000,        -3.8000,     1
   47.000000,    31.000000,        -8.8667,         1.2355,        -7.1768,        -1.0000,        -8.8667,     3
    1.000000,    35.000000,        -0.4000,         1.1224,        -0.3564,         0.0000,         0.0000,     1
   35.000000,    35.000000,       -11.1000,         1.7602,        -6.3061,        -1.0000,       -11.1000,     1
   -1.000000,    37.000000,        -3.2500,         0.8242,        -3.9430,        -1.0000,        -3.2500,     2
    1.000000,    37.000000,         1.5000,         0.6888,         2.1777,         1.0000,         1.5000,     1
   57.000000,    37.000000,       -12.2500,         1.5674,        -7.8154,        -1.0000,       -12.2500,     2
   47.000000,    39.000000,       -13.2500,         1.9485,        -6.8002,        -1.0000,       -13.2500,     2
   57.000000,    39.000000,       -12.0000,         1.8497,        -6.4877,        -1.0000,       -12.0000,     2
   59.000000,    39.000000,        -9.7000,         2.0298,        -4.7787,        -1.0000,        -9.7000,     2
   41.000000,    41.000000,        -8.5500,         1.0478,        -8.1596,        -1.0000,        -8.5500,     2
   43.000000,    41.000000,        -8.3750,         0.8932,        -9.3760,        -1.0000,        -8.3750,     4
   57.000000,    41.000000,        -7.0000,         2.0408,        -3.4300,        -1.0000,        -7.0000,     1
   41.000000,    45.000000,       -11.1000,         1.6784,        -6.6133,        -1.0000,       -11.1000,     2
  -19.000000,    47.000000,         3.2000,         0.0000,         0.0000,         0.0000,         0.0000,     1
   35.000000,    47.000000,        -6.8000,         1.2755,        -5.3312,        -1.0000,        -6.8000,     1
  -19.000000,    49.000000,        -1.9000,         2.1429,        -0.8866,         0.0000,         0.0000,     1
   55.000000,    57.000000,        -4.0750,         1.1446,        -3.5603,        -1.0000,        -4.0750,     4
   57.000000,    63.000000,        -6.6500,         1.5798,        -4.2093,        -1.0000,        -6.6500,     2
   65.000000,    65.000000,        -6.6000,         1.7819,        -3.7039,        -1.0000,        -6.6000,     3
   67.000000,    65.000000,        -6.8333,         1.6354,        -4.1783,        -1.0000,        -6.8333,     3
   65.000000,    67.000000,        -6.9000,         1.2004,        -5.7482,        -1.0000,        -6.9000,     3
   57.000000,    69.000000,        -8.7500,         1.7830,        -4.9074,        -1.0000,        -8.7500,     2
   59.000000,    69.000000,        -8.3200,         1.0131,        -8.2120,        -1.0000,        -8.3200,     5
