1. PROJECT
------------

Title: Glacial and Holocene Climates Reconstructed by Vegetation-Model Inversion
Dates: 01/10/15 - 31/09/19
Funding organisation: NERC, ERC
Grant no.: NERC award reference 1859127, ERC (Global Change 2.0: Unlocking the past for a clearer future (grant number 694481))

2. DATASET
------------

Title: A new multi-variable benchmark for Last Glacial Maximum climate simulations

Description: Reconstruction of climate anomalies for the Last Glacial Maximum (LGM, ca 21,000 years ago), made by combining pollen based reconstructions (from Bartlein et al. 2011) and averaged outputs of LGM simulations from the 3rd round of the Palaeoclimate Model Intercomparison Project (PMIP, Braconnot et al. 2011), under a variational data assimilation technique. This reconstruction is designed to be used for data-model comparison, specifically against the results of PMIP4. The dataset consists of 6 variables: moisture index (the ratio precipitation and equilibrium evapotranspiration), mean annual precipitation (mm), mean annual temperature (degrees C), mean temperature of the coldest month (degrees C), mean temperature of the warmest month (degrees C), growing degree days above 5 degrees C (day degrees C). The standard deviation of these variables is also given.

This dataset supersedes the version published at http://dx.doi.org/10.17864/1947.229, where an incorrect value for MI SD was used in Australia, a non-linear MAP non-dimensionalisation was used (instead of the linear one here), the background error covariance matrix was square rooted improperly and incorrect values for MI were used in central Asia.

Publication Year: 2020
Creator(s): S.F. Cleator, S.P. Harrison, N.K. Nichols, I.C. Prentice, I. Roulstone
Organisation(s): University of Surrey, University of Reading, Imperial College London
Rights-holder(s): S.F. Cleator, University of Surrey, University of Reading, Imperial College London

References:
    Bartlein et al. 2011 - P. J. Bartlein, S. P. Harrison, S. Brewer, S. Connor, B. A. S. Davis, K. Gajewski, J. Guiot, T. I. Harrison-Prentice, A. Henderson, O. Peyron, I. C. Prentice, M. Scholze, H. Seppä, B. Shuman, S. Sugita, R. S. Thompson, A. E. Viau, J. Williams, and H. Wu. Pollen-based continental climate reconstructions at 6 and 21 ka: a global synthesis. Climate Dynamics, 37:775–802, 2011.
    Braconnot et al. 2011 - Pascale Braconnot, Sandy P. Harrison, Bette Otto-Bliesner, Ayako Abe-Ouchi, Johann Jungclaus, and Jean-Yves Peterschmitt. The Paleoclimate Modeling Intercomparison Project contribution to CMIP5. CLIVAR Exchanges, 16(56):15–19, 2011.

3. TERMS OF USE
-----------------
Copyright 2020 Sean F. Cleator, University of Surrey, University of Reading, Imperial College London. This dataset is licensed by the rights-holder(s) under a Creative Commons Attribution 4.0 International Licence: https://creativecommons.org/licenses/by/4.0/.

4. CONTENTS
------------
File listing:
    LGM_reconstruction.csv - Last Glacial Maximum reconstruction anomalies at each grid cell.

5. METHOD and PROCESSING
--------------------------

This dataset is made by combining site-based pollen reconstructions with aggregated outputs of PMIP3. The possible climates are varied and the most likely climate is found under a 3D-Variational data assimilation scheme. The uncertainty from this process is then used to screen out areas where the pollen reconstructions have had a minimal effect. By using a vegetation model, the effect of changing CO_2 concentrations on pollen reconstructions is also accounted for. The error of the resulting reconstruction is also calculated and given as 1 standard deviation from the variables.

The individual fields are: 
    lat - grid cell centre latitude
    lon - grid cell centre longitude
    MI - moisture index
    MAP - mean annual precipitation (mm)
    MAT - mean annual temperature (degrees C)
    MTCO - mean temperature of the coldest month (degrees C)
    MTWA - mean temperature of the warmest month (degrees C)
    GDD5 - growing degree days above 5 degrees C (days degrees C)
    MI SD - moisture index standard deviation
    MAP SD - mean annual precipitation standard deviation (mm)
    MAT SD - mean annual temperature standard deviation (degrees C)
    MTCO SD - mean temperature of the coldest month standard deviation (degrees C)
    MTWA SD - mean temperature of the warmest month standard deviation (degrees C)
    GDD5 SD - growing degree days above 5 degrees C standard deviation (days degrees C)

# Reconstruction of anomalies of the Last Glacial Maximum (ca 21000 years ago) made by combining pollen based reconstructions and average PMIP3 outputs under a variational data assimilation technique.
# 
# Variables are given as:
# 
# lat - grid cell centre latitude
# lon - grid cell centre longitude
# MI - moisture index
# MAP - mean annual precipitation (mm)
# MAT - mean annual temperature (degrees C)
# MTCO - mean temperature of the coldest month (degrees C)
# MTWA - mean temperature of the warmest month (degrees C)
# GDD5 - growing degree days above 5 degrees C (days degrees C)
# MI SD - moisture index standard deviation
# MAP SD - mean annual precipitation standard deviation (mm)
# MAT SD - mean annual temperature standard deviation (degrees C)
# MTCO SD - mean temperature of the coldest month standard deviation (degrees C)
# MTWA SD - mean temperature of the warmest month standard deviation (degrees C)
# GDD5 SD - growing degree days above 5 degrees C standard deviation (days degrees C).
# 
# NaN values represent situations where a reconstruction isn't given.
# 
# lat, lon, MI, MAP, MAT, MTCO, MTWA, GDD5, MI SD, MAP SD, MAT SD, MTCO SD, MTWA SD, GDD5 SD
-1.000000,-53.000000,  nan,  nan,-4.008337,-3.988300,  nan,-1463.040000,  nan,  nan,1.216880,1.581250,  nan,444.163000
1.000000,-53.000000,  nan,  nan,-3.585645,-3.625500,  nan,-1308.740000,  nan,  nan,1.240980,1.607480,  nan,452.956000
3.000000,-53.000000,  nan,  nan,-3.379262,  nan,  nan,-1233.430000,  nan,  nan,1.204600,  nan,  nan,439.681000
-19.000000,-51.000000,-0.030976,-220.650000,  nan,  nan,  nan,  nan,0.075071,126.966000,  nan,  nan,  nan,  nan
-17.000000,-51.000000,-0.138164,-414.610000,  nan,  nan,  nan,  nan,0.109972,178.802000,  nan,  nan,  nan,  nan
-15.000000,-51.000000,-0.063687,-285.020000,-4.408062,  nan,  nan,-1608.940000,0.074339,121.870000,1.072740,  nan,  nan,391.549000
-13.000000,-51.000000,-0.053158,-270.520000,-4.321615,-4.120900,  nan,-1577.390000,0.066055,107.993000,1.055240,1.281240,  nan,385.162000
-11.000000,-51.000000,-0.066901,-289.360000,-4.277952,-4.087400,-4.593300,-1561.450000,0.070897,113.832000,1.018760,1.189500,1.077360,371.848000
-9.000000,-51.000000,  nan,  nan,-4.273258,-4.397400,-4.490300,-1559.750000,  nan,  nan,1.017150,1.500510,1.150360,371.261000
-7.000000,-51.000000,  nan,  nan,-4.335700,-4.708800,-4.340000,-1582.540000,  nan,  nan,1.067800,1.646800,1.149120,389.748000
-5.000000,-51.000000,  nan,  nan,-4.199907,-4.253700,-4.137300,-1532.980000,  nan,  nan,1.076710,1.643130,1.010480,392.998000
-3.000000,-51.000000,  nan,  nan,-3.978129,-4.066900,-3.987700,-1452.000000,  nan,  nan,1.120380,1.414800,1.108890,408.938000
-1.000000,-51.000000,  nan,  nan,-3.586892,-3.643300,-3.713900,-1309.220000,  nan,  nan,1.210930,1.515010,1.272390,441.990000
1.000000,-51.000000,  nan,  nan,-3.113521,-3.125800,  nan,-1136.450000,  nan,  nan,1.231900,1.533820,  nan,449.644000
-19.000000,-49.000000,  nan,  nan,  nan,  nan,-3.794900,  nan,  nan,  nan,  nan,  nan,1.190520,  nan
-15.000000,-49.000000,  nan,  nan,-4.533523,-4.124500,-4.816500,-1654.730000,  nan,  nan,1.078370,1.226940,1.149270,393.606000
-13.000000,-49.000000,  nan,  nan,-4.499455,-4.247400,-4.912800,-1642.300000,  nan,  nan,1.030020,1.234910,1.258390,375.956000
-11.000000,-49.000000,  nan,  nan,-4.453751,-4.223600,-4.911900,-1625.640000,  nan,  nan,0.980512,1.167700,1.213610,357.887000
-9.000000,-49.000000,  nan,  nan,-4.406662,-4.488500,-4.971100,-1608.430000,  nan,  nan,0.955136,1.412330,1.229280,348.624000
-7.000000,-49.000000,  nan,  nan,-4.378740,-4.724300,-4.766800,-1598.230000,  nan,  nan,0.967105,1.492810,1.100510,352.993000
-5.000000,-49.000000,  nan,  nan,-4.222178,-4.401200,-4.268900,-1541.110000,  nan,  nan,0.999323,1.509400,1.049400,364.753000
-3.000000,-49.000000,  nan,  nan,-4.016629,-4.008900,-3.952200,-1466.070000,  nan,  nan,1.107010,1.361900,1.118790,404.060000
-1.000000,-49.000000,  nan,  nan,-3.473178,-3.359500,-3.214800,-1267.700000,  nan,  nan,1.194260,1.442560,1.502720,435.905000
-17.000000,-47.000000,  nan,  nan,-4.434193,  nan,  nan,-1618.470000,  nan,  nan,1.148000,  nan,  nan,419.020000
-15.000000,-47.000000,  nan,  nan,-4.673997,-4.180300,-4.851300,-1706.010000,  nan,  nan,1.101440,1.249440,1.211080,402.025000
-13.000000,-47.000000,  nan,  nan,-4.726138,-4.286800,-4.962600,-1725.050000,  nan,  nan,1.036500,1.203020,1.258940,378.324000
-11.000000,-47.000000,  nan,  nan,-4.698834,-4.359300,-4.942800,-1715.090000,  nan,  nan,0.953563,1.121670,1.170730,348.050000
-9.000000,-47.000000,  nan,  nan,-4.628186,-4.416800,-4.952200,-1689.300000,  nan,  nan,0.896867,1.083050,1.141720,327.356000
-7.000000,-47.000000,  nan,  nan,-4.542010,-4.812200,-5.148100,-1657.850000,  nan,  nan,0.869512,1.313580,1.147400,317.372000
-5.000000,-47.000000,  nan,  nan,-4.298397,-4.298700,-4.512200,-1568.930000,  nan,  nan,0.918687,1.113010,0.968776,335.321000
-3.000000,-47.000000,  nan,  nan,-4.021070,-4.118000,-4.276400,-1467.690000,  nan,  nan,1.049440,1.256790,1.424820,383.044000
-1.000000,-47.000000,  nan,  nan,-3.810329,-3.552500,-3.425000,-1390.760000,  nan,  nan,1.141140,1.291680,1.454420,416.516000
-17.000000,-45.000000,  nan,  nan,-4.567279,-4.192200,-4.479700,-1667.050000,  nan,  nan,1.134970,1.313100,1.260920,414.264000
-15.000000,-45.000000,  nan,  nan,-4.717792,-4.239300,-5.388200,-1721.980000,  nan,  nan,1.095940,1.257780,1.257330,400.017000
-13.000000,-45.000000,  nan,  nan,-4.968910,-4.443700,-5.045200,-1813.660000,  nan,  nan,1.053460,1.201630,1.294370,384.512000
-11.000000,-45.000000,  nan,  nan,-5.025684,-4.609700,-6.122700,-1834.370000,  nan,  nan,0.924357,1.098270,1.321900,337.390000
-9.000000,-45.000000,  nan,  nan,-4.967129,-4.732600,-5.136700,-1813.010000,  nan,  nan,0.810251,1.034330,1.026400,295.742000
-7.000000,-45.000000,  nan,  nan,-4.837323,-4.707700,-5.207000,-1765.630000,  nan,  nan,0.757146,1.011280,0.987995,276.358000
-5.000000,-45.000000,  nan,  nan,-4.220781,-4.227900,-4.561900,-1540.580000,  nan,  nan,0.797181,1.051290,1.029180,290.971000
-3.000000,-45.000000,  nan,  nan,-3.846905,-4.102000,-3.833100,-1404.130000,  nan,  nan,0.891873,1.092130,1.126740,325.534000
-19.000000,-43.000000,  nan,  nan,-4.279055,  nan,  nan,-1561.860000,  nan,  nan,1.204210,  nan,  nan,439.538000
-17.000000,-43.000000,  nan,  nan,-4.603797,-4.316700,-4.485900,-1680.400000,  nan,  nan,1.158480,1.326460,1.326710,422.846000
-15.000000,-43.000000,  nan,  nan,-4.899079,-4.492700,-4.561700,-1788.150000,  nan,  nan,1.093690,1.253090,1.237780,399.196000
-13.000000,-43.000000,  nan,  nan,-5.209316,-4.710200,-5.568800,-1901.410000,  nan,  nan,1.018800,1.181400,1.207490,371.863000
-11.000000,-43.000000,  nan,  nan,-5.192477,-5.968200,-5.063200,-1895.260000,  nan,  nan,0.848306,1.121650,1.052810,309.632000
-9.000000,-43.000000,  nan,  nan,-5.104321,-4.814800,-5.040700,-1863.080000,  nan,  nan,0.696234,0.918074,0.895810,254.126000
-7.000000,-43.000000,  nan,  nan,-4.930197,-4.865700,-5.052300,-1799.510000,  nan,  nan,0.596994,0.881745,0.821685,217.903000
-5.000000,-43.000000,  nan,  nan,-4.496362,-4.443800,-4.948300,-1641.180000,  nan,  nan,0.682106,0.970268,0.936495,248.969000
-3.000000,-43.000000,  nan,  nan,-4.125240,-4.084700,-3.887300,-1505.700000,  nan,  nan,0.760770,0.883913,1.001080,277.681000
-19.000000,-41.000000,  nan,  nan,-3.870238,  nan,  nan,-1412.650000,  nan,  nan,1.189200,  nan,  nan,434.059000
-17.000000,-41.000000,  nan,  nan,-4.205319,-4.089300,-4.038000,-1534.940000,  nan,  nan,1.156830,1.342990,1.268960,422.244000
-15.000000,-41.000000,  nan,  nan,-4.568062,-4.289300,-4.328900,-1667.360000,  nan,  nan,1.070730,1.239490,1.226350,390.815000
-13.000000,-41.000000,  nan,  nan,-4.912732,-4.542700,-4.869500,-1793.140000,  nan,  nan,0.982838,1.148310,1.187740,358.736000
-11.000000,-41.000000,0.011039,  nan,-5.037737,-4.697700,-4.977100,-1838.790000,0.043358,  nan,0.813254,1.012180,1.057590,296.838000
-9.000000,-41.000000,-0.012958,  nan,-5.158816,-4.981300,-5.620900,-1882.960000,0.042568,  nan,0.636867,0.911388,0.888678,232.456000
-7.000000,-41.000000,-0.060005,  nan,-5.153912,-5.030000,-5.767200,-1881.160000,0.062836,  nan,0.497378,0.802592,0.786492,181.543000
-5.000000,-41.000000,  nan,  nan,-4.824881,-4.848200,-5.121200,-1761.100000,  nan,  nan,0.615057,0.883913,0.840785,224.496000
-3.000000,-41.000000,  nan,  nan,-4.339078,-4.523000,-4.130000,-1583.760000,  nan,  nan,0.763875,0.985197,0.922087,278.814000
-13.000000,-39.000000,  nan,  nan,-4.114630,-4.100900,-3.993200,-1501.850000,  nan,  nan,0.921551,1.146710,1.061750,336.366000
-11.000000,-39.000000,  nan,  nan,-4.530936,-4.378700,-4.729100,-1653.790000,  nan,  nan,0.787163,1.003350,0.991658,287.314000
-9.000000,-39.000000,-0.017943,  nan,-4.950304,-4.785300,-5.441800,-1806.870000,0.031763,  nan,0.692680,0.950033,0.854249,252.828000
-7.000000,-39.000000,  nan,  nan,-5.220742,-5.100400,-5.733500,-1905.580000,  nan,  nan,0.654189,0.921021,0.981484,238.779000
-5.000000,-39.000000,  nan,  nan,-4.723926,-4.741700,-4.835400,-1724.230000,  nan,  nan,0.694819,0.959266,0.900797,253.609000
-9.000000,-37.000000,-0.033878,  nan,-4.489908,-4.422100,-4.772400,-1638.800000,0.049309,  nan,0.770016,1.007470,0.909266,281.056000
-7.000000,-37.000000,-0.059189,  nan,-4.889800,-4.901200,-5.290500,-1784.790000,0.048932,  nan,0.817606,1.094160,1.081650,298.426000
17.000000,-15.000000,-0.009139,  nan,  nan,  nan,  nan,  nan,0.014028,  nan,  nan,  nan,  nan,  nan
19.000000,-15.000000,-0.013897,  nan,  nan,  nan,  nan,  nan,0.004472,  nan,  nan,  nan,  nan,  nan
21.000000,-15.000000,-0.012538,  nan,  nan,  nan,  nan,  nan,0.002649,  nan,  nan,  nan,  nan,  nan
23.000000,-15.000000,-0.014291,  nan,  nan,  nan,  nan,  nan,0.001098,  nan,  nan,  nan,  nan,  nan
17.000000,-13.000000,-0.012590,  nan,  nan,  nan,  nan,  nan,0.016734,  nan,  nan,  nan,  nan,  nan
19.000000,-13.000000,-0.011543,  nan,  nan,  nan,  nan,  nan,0.006152,  nan,  nan,  nan,  nan,  nan
21.000000,-13.000000,-0.011881,  nan,  nan,  nan,  nan,  nan,0.002859,  nan,  nan,  nan,  nan,  nan
23.000000,-13.000000,-0.014043,  nan,  nan,  nan,  nan,  nan,0.001749,  nan,  nan,  nan,  nan,  nan
25.000000,-13.000000,-0.013811,  nan,  nan,  nan,  nan,  nan,0.001239,  nan,  nan,  nan,  nan,  nan
27.000000,-13.000000,-0.021813,  nan,  nan,  nan,  nan,  nan,0.001384,  nan,  nan,  nan,  nan,  nan
17.000000,-11.000000,-0.018657,  nan,  nan,-4.292700,  nan,  nan,0.015387,  nan,  nan,1.339670,  nan,  nan
19.000000,-11.000000,-0.011175,  nan,  nan,  nan,  nan,  nan,0.005279,  nan,  nan,  nan,  nan,  nan
21.000000,-11.000000,-0.012733,  nan,  nan,  nan,  nan,  nan,0.001391,  nan,  nan,  nan,  nan,  nan
23.000000,-11.000000,-0.016246,  nan,  nan,  nan,  nan,  nan,0.000292,  nan,  nan,  nan,  nan,  nan
25.000000,-11.000000,-0.017256,  nan,  nan,  nan,  nan,  nan,0.000270,  nan,  nan,  nan,  nan,  nan
27.000000,-11.000000,-0.018151,  nan,  nan,  nan,  nan,  nan,0.001765,  nan,  nan,  nan,  nan,  nan
17.000000,-9.000000,-0.020682,  nan,  nan,  nan,  nan,  nan,0.010926,  nan,  nan,  nan,  nan,  nan
19.000000,-9.000000,-0.013403,  nan,  nan,  nan,  nan,  nan,0.002920,  nan,  nan,  nan,  nan,  nan
21.000000,-9.000000,-0.014874,  nan,  nan,  nan,  nan,  nan,0.000483,  nan,  nan,  nan,  nan,  nan
27.000000,-9.000000,-0.022560,  nan,  nan,  nan,  nan,  nan,0.001361,  nan,  nan,  nan,  nan,  nan
29.000000,-9.000000,-0.003493,-23.930000,-6.513816,-6.228040,-6.206600,-2377.530000,0.014716,74.944200,1.303020,1.408310,1.703280,475.601000
31.000000,-9.000000,0.078871,10.988000,-6.665444,-6.834282,-5.671800,-1957.730000,0.082259,103.090000,1.209060,1.241240,1.565620,289.588000
39.000000,-9.000000,0.087781,-68.071000,-8.072238,-10.178036,-6.336200,-2543.260000,0.125489,111.031000,1.017700,1.108710,1.450250,245.422000
43.000000,-9.000000,0.432688,-147.800000,-8.509124,-11.352300,-6.367000,-1695.714000,0.221326,116.528000,0.986272,1.061650,1.441420,161.657000
15.000000,-7.000000,-0.025667,  nan,  nan,  nan,  nan,  nan,0.037535,  nan,  nan,  nan,  nan,  nan
17.000000,-7.000000,-0.020505,  nan,  nan,  nan,  nan,  nan,0.011694,  nan,  nan,  nan,  nan,  nan
19.000000,-7.000000,-0.014289,  nan,  nan,  nan,  nan,  nan,0.002924,  nan,  nan,  nan,  nan,  nan
21.000000,-7.000000,-0.015618,  nan,  nan,  nan,  nan,  nan,0.000240,  nan,  nan,  nan,  nan,  nan
27.000000,-7.000000,  nan,-29.900000,-6.781240,  nan,-7.141000,-2475.150000,  nan,66.158300,1.323300,  nan,1.781020,483.006000
29.000000,-7.000000,-0.028877,-48.872700,-7.120936,  nan,-7.232900,-2599.150000,0.001227,66.532300,1.286730,  nan,1.685100,469.657000
31.000000,-7.000000,0.030230,-3.040000,-8.110601,-7.941918,-7.597300,-2594.620000,0.031829,93.684600,1.290340,1.397100,1.611060,334.381000
33.000000,-7.000000,0.112627,3.916000,-8.356410,-8.658600,-7.391800,-2335.410000,0.107771,109.132000,1.249770,1.257370,1.740930,276.201000
39.000000,-7.000000,0.045228,-83.834000,-9.887738,-12.763790,-7.791300,-2670.290000,0.093930,96.604700,1.006630,1.214940,1.361350,234.025000
41.000000,-7.000000,0.085249,-132.211000,-10.296884,-13.556100,-7.913700,-1888.487000,0.158803,108.906000,0.974312,1.136630,1.358020,178.302000
43.000000,-7.000000,0.238788,-163.907000,-9.937842,-13.200500,-7.313580,-1300.211000,0.200417,104.282000,0.908385,0.999469,1.328810,114.399000
7.000000,-5.000000,  nan,  nan,-3.937577,  nan,  nan,-1437.210000,  nan,  nan,1.100100,  nan,  nan,401.535000
9.000000,-5.000000,  nan,  nan,-3.891867,-3.744600,  nan,-1420.520000,  nan,  nan,1.163040,1.429340,  nan,424.510000
15.000000,-5.000000,-0.031661,  nan,  nan,  nan,  nan,  nan,0.030497,  nan,  nan,  nan,  nan,  nan
17.000000,-5.000000,-0.020575,  nan,  nan,  nan,  nan,  nan,0.010865,  nan,  nan,  nan,  nan,  nan
19.000000,-5.000000,-0.014763,  nan,  nan,  nan,  nan,  nan,0.002870,  nan,  nan,  nan,  nan,  nan
21.000000,-5.000000,-0.016147,  nan,  nan,  nan,  nan,  nan,0.000067,  nan,  nan,  nan,  nan,  nan
27.000000,-5.000000,  nan,-20.600000,-6.956353,  nan,-7.462700,-2539.050000,  nan,64.512300,1.307920,  nan,1.797580,477.392000
29.000000,-5.000000,  nan,-35.700000,-7.347189,-6.473150,-7.713800,-2681.710000,  nan,64.650000,1.267960,1.321970,1.727230,462.806000
31.000000,-5.000000,-0.036397,-63.334300,-8.654003,-8.406280,-8.559500,-3002.770000,0.003978,95.793300,1.336700,1.447050,1.752760,414.572000
33.000000,-5.000000,0.136143,-14.247000,-9.458726,-9.453813,-9.054900,-2944.940000,0.094160,101.314000,1.237150,1.275080,1.673020,299.665000
35.000000,-5.000000,-0.012535,-155.526000,-8.588697,-9.037590,-8.660000,-2943.290000,0.110198,109.544000,1.005730,0.996511,1.524470,300.453000
37.000000,-5.000000,0.011209,-157.914000,-10.104636,-12.932610,-8.265400,-2352.860000,0.106358,91.652700,1.004640,1.222700,1.390120,180.076000
39.000000,-5.000000,-0.072802,-188.319000,-11.377068,-15.062510,-8.913400,-2386.730000,0.057496,80.367800,0.997083,1.246960,1.315890,174.518000
41.000000,-5.000000,-0.154873,-209.029000,-11.665800,-15.272500,-9.129500,-1799.192000,0.032960,67.534200,0.947326,1.099040,1.310380,114.382000
43.000000,-5.000000,0.268721,-223.990000,-11.078487,-14.831900,-8.268040,-1705.932000,0.131392,63.367000,0.872215,0.970890,1.259810,109.656000
7.000000,-3.000000,  nan,  nan,-4.114822,-3.770000,  nan,-1501.920000,  nan,  nan,1.075190,1.253510,  nan,392.445000
9.000000,-3.000000,  nan,  nan,-4.096673,-3.875500,  nan,-1495.280000,  nan,  nan,1.085280,1.358860,  nan,396.128000
11.000000,-3.000000,  nan,  nan,-4.322196,  nan,  nan,-1577.600000,  nan,  nan,1.127260,  nan,  nan,411.451000
13.000000,-3.000000,  nan,  nan,-4.648003,  nan,  nan,-1696.510000,  nan,  nan,1.169640,  nan,  nan,426.920000
15.000000,-3.000000,-0.031428,  nan,  nan,  nan,  nan,  nan,0.035921,  nan,  nan,  nan,  nan,  nan
17.000000,-3.000000,-0.026521,  nan,  nan,-4.761000,  nan,  nan,0.006893,  nan,  nan,1.233330,  nan,  nan
19.000000,-3.000000,-0.018311,  nan,  nan,  nan,  nan,  nan,0.001810,  nan,  nan,  nan,  nan,  nan
21.000000,-3.000000,-0.016837,  nan,  nan,  nan,  nan,  nan,0.000147,  nan,  nan,  nan,  nan,  nan
27.000000,-3.000000,  nan,-14.000000,-7.103673,-5.814910,-7.664100,-2592.850000,  nan,62.966400,1.305680,1.282940,1.823610,476.571000
29.000000,-3.000000,  nan,-24.900000,-7.506178,-6.439170,-7.998500,-2739.770000,  nan,61.796600,1.269100,1.252820,1.780440,463.220000
31.000000,-3.000000,  nan,-56.000000,-8.281674,-7.698590,-8.604000,-2923.410000,  nan,64.595800,1.224590,1.272900,1.709830,383.064000
33.000000,-3.000000,-0.004598,-84.371000,-9.310830,-9.103380,-9.308600,-2612.350000,0.037369,75.146100,1.158310,1.192140,1.621330,284.499000
35.000000,-3.000000,-0.107024,-177.005000,-9.299469,-9.480320,-9.864500,-3219.100000,0.029109,87.119800,1.051790,0.975663,1.682090,318.945000
37.000000,-3.000000,0.013118,-163.177000,-11.065437,-13.962640,-9.493500,-3174.110000,0.075127,67.512200,1.023530,1.179260,1.449030,243.511000
39.000000,-3.000000,-0.085451,-207.490000,-12.251874,-16.017300,-9.486500,-2356.853000,0.046140,64.927900,0.976321,1.183530,1.259450,171.847000
41.000000,-3.000000,-0.159057,-281.594000,-12.483949,-16.063800,-9.747910,-1759.797000,0.050676,57.266200,0.893764,1.008840,1.213000,107.334000
43.000000,-3.000000,-0.314675,-476.959000,-11.829166,-16.245500,-8.600990,-1953.146000,0.113087,57.887400,0.798257,0.929898,1.120270,98.350300
7.000000,-1.000000,  nan,  nan,-4.168249,-3.819100,-4.104500,-1521.390000,  nan,  nan,1.066370,1.216980,1.215040,389.226000
9.000000,-1.000000,  nan,  nan,-4.284444,-3.966800,-4.312000,-1563.810000,  nan,  nan,1.067450,1.326720,1.152820,389.618000
11.000000,-1.000000,  nan,  nan,-4.406270,  nan,  nan,-1608.290000,  nan,  nan,1.116520,  nan,  nan,407.529000
13.000000,-1.000000,  nan,  nan,-4.743044,  nan,  nan,-1731.200000,  nan,  nan,1.156520,  nan,  nan,422.130000
15.000000,-1.000000,-0.036242,  nan,-5.051810,  nan,  nan,-1843.910000,0.026780,  nan,1.175070,  nan,  nan,428.902000
17.000000,-1.000000,-0.027082,  nan,  nan,  nan,  nan,  nan,0.005255,  nan,  nan,  nan,  nan,  nan
19.000000,-1.000000,-0.020677,  nan,  nan,  nan,  nan,  nan,0.002188,  nan,  nan,  nan,  nan,  nan
21.000000,-1.000000,-0.018322,  nan,  nan,  nan,  nan,  nan,0.000357,  nan,  nan,  nan,  nan,  nan
27.000000,-1.000000,  nan,-11.500000,-7.209773,-5.936520,-7.740000,-2631.560000,  nan,62.307500,1.290730,1.244100,1.819880,471.115000
29.000000,-1.000000,  nan,-21.000000,-7.609697,-6.558600,-8.064400,-2777.550000,  nan,61.163800,1.262270,1.231290,1.776890,460.728000
31.000000,-1.000000,  nan,-56.400000,-8.364975,-7.785590,-8.667000,-2892.330000,  nan,62.171100,1.226980,1.250560,1.722470,385.056000
33.000000,-1.000000,-0.036996,-96.603000,-9.428361,-9.239310,-9.424300,-2650.450000,0.021188,74.607400,1.162600,1.185210,1.635110,286.517000
35.000000,-1.000000,-0.089904,-186.418000,-9.500925,-9.688277,-10.026500,-2965.290000,0.045972,89.708600,1.049160,0.983914,1.662440,272.417000
39.000000,-1.000000,-0.164684,-281.744000,-12.502280,-16.356410,-9.934900,-3351.410000,0.035842,61.940000,0.999220,1.159970,1.314440,212.243000
41.000000,-1.000000,-0.300870,-364.843000,-12.882194,-16.610100,-10.031400,-2815.409000,0.018520,53.248500,0.865705,0.969490,1.188650,164.121000
43.000000,-1.000000,-0.475941,-601.401000,-12.443384,-17.384200,-9.007400,-1913.664000,0.078825,53.386400,0.708664,0.868222,0.965297,85.520700
45.000000,-1.000000,-0.766921,-688.541000,-11.493197,-16.812300,-7.810900,-2130.329000,0.067091,76.851600,0.764298,0.875810,1.214060,153.965000
47.000000,-1.000000,-0.352246,-386.489000,-11.384586,-17.326800,-7.171700,-1840.014000,0.094824,65.559500,0.932644,1.045660,1.527900,189.253000
49.000000,-1.000000,-0.247811,-358.574000,-12.595717,-20.180700,-6.843900,-1664.087000,0.144257,68.087100,1.245190,1.382070,1.982680,169.141000
51.000000,-1.000000,-0.167955,-342.600000,-14.181011,-21.102500,-8.156730,-1622.277000,0.224626,79.780600,1.670070,1.517490,2.869800,242.388000
53.000000,-1.000000,-0.298126,-328.663000,-16.712091,-23.618800,-10.904200,-1714.000000,0.185672,96.149100,2.077460,1.900820,3.703250,0.000000
7.000000,1.000000,  nan,  nan,-4.260460,-3.889600,-4.221600,-1555.070000,  nan,  nan,1.016560,1.272340,1.073760,371.046000
9.000000,1.000000,  nan,  nan,-4.388142,-3.936900,-4.485100,-1601.670000,  nan,  nan,1.059030,1.342520,1.147970,386.547000
11.000000,1.000000,  nan,  nan,-4.641442,-4.433900,-4.483400,-1694.120000,  nan,  nan,1.108670,1.284020,1.177500,404.666000
13.000000,1.000000,  nan,  nan,-4.878864,  nan,-4.668300,-1780.800000,  nan,  nan,1.163630,  nan,1.335900,424.724000
15.000000,1.000000,-0.037488,  nan,-5.193589,  nan,  nan,-1895.680000,0.026239,  nan,1.171870,  nan,  nan,427.731000
17.000000,1.000000,-0.027707,  nan,-5.506310,  nan,  nan,-2009.790000,0.007880,  nan,1.206240,  nan,  nan,440.276000
19.000000,1.000000,-0.019856,  nan,  nan,  nan,  nan,  nan,0.004786,  nan,  nan,  nan,  nan,  nan
21.000000,1.000000,-0.019532,  nan,  nan,  nan,  nan,  nan,0.001339,  nan,  nan,  nan,  nan,  nan
27.000000,1.000000,  nan,-14.100000,-7.239516,-6.218620,-7.620000,-2642.420000,  nan,63.416000,1.273460,1.242580,1.815120,464.812000
29.000000,1.000000,  nan,-23.800000,-7.773186,-6.911780,-8.211300,-2827.540000,  nan,62.248700,1.277200,1.245530,1.855850,434.510000
31.000000,1.000000,  nan,-58.500000,-8.488288,-8.085480,-8.851700,-2904.720000,  nan,64.354100,1.258440,1.271760,1.840220,368.914000
33.000000,1.000000,-0.075735,-131.365300,-9.376340,-9.852430,-9.157100,-2830.520000,0.009752,68.009300,1.183530,1.271840,1.679370,285.112000
